comparison,feature,n_positive,n_control,mean_positive,mean_control,cohen_d,abs_d
claim_ranked_conversation,max_fam_symbolic,1431,344,16.15151038427696,0.2850078255972417,0.4989056448440498,0.4989056448440498
claim_ranked_conversation,mean_fam_symbolic,1431,344,2.5111310330127457,0.03982702623980621,0.4975197323611042,0.4975197323611042
claim_ranked_conversation,n_assistant,1431,344,24.78127183787561,2.683139534883721,0.48233913583028964,0.48233913583028964
claim_ranked_conversation,max_word_count,1431,344,958.7924528301887,169.0,0.47753504170932176,0.47753504170932176
claim_ranked_conversation,mean_paren_per_1k,1431,344,13.106094024585081,5.485861287480386,0.4771256278282953,0.4771256278282953
claim_ranked_conversation,n_user_assistant_pairs,1431,344,23.964360587002098,2.558139534883721,0.4765566190401518,0.4765566190401518
claim_ranked_conversation,n_messages,1431,344,49.464011180992316,5.395348837209302,0.4764483288157487,0.4764483288157487
claim_ranked_conversation,mean_fam_hierarchy,1431,344,2.834613209633857,0.29463281676807596,0.4763637583243702,0.4763637583243702
claim_ranked_conversation,n_user,1431,344,24.6827393431167,2.7122093023255816,0.4699058319293984,0.4699058319293984
claim_ranked_conversation,max_fam_control,1431,344,14.392390074938064,1.084550461749315,0.46733542452488497,0.46733542452488497
claim_ranked_conversation,max_avg_word_len,1431,344,6.82382773202712,5.796120463314808,0.462802075270834,0.462802075270834
claim_ranked_conversation,max_fam_hierarchy,1431,344,24.15037573484495,1.4055816177943052,0.44893415617992927,0.44893415617992927
claim_ranked_conversation,mean_fam_recursion,1431,344,1.5804603522090843,0.061967899748475996,0.4408248372938459,0.4408248372938459
claim_ranked_conversation,mean_fam_control,1431,344,1.725795913174588,0.40930896024894803,0.4301102178216038,0.4301102178216038
claim_ranked_conversation,mean_arrow_per_1k,1431,344,1.908547857368964,0.3836084319940295,0.42509480383346276,0.42509480383346276
claim_ranked_conversation,max_fam_recursion,1431,344,13.075208990691559,0.1517691144944932,0.413535106447783,0.413535106447783
claim_ranked_conversation,mean_fam_composition,1431,344,0.24980545390909312,0.013488773914150314,0.4035008574094166,0.4035008574094166
claim_ranked_conversation,max_arrow_per_1k,1431,344,16.953758537238976,1.5257287223723521,0.3812162082409182,0.3812162082409182
claim_ranked_conversation,mean_exclaim_rate,1431,344,0.03088091661979763,0.07904297406523458,-0.3764284293658709,0.3764284293658709
