provider,condition,cell_id,pair_index,label,RAW_CHARS,RAW_TURNS,SYSTEM_NAME_HITS,JOINT_MULTILAYER_V2_MARGIN,OPERATOR_RELATIONAL_V2_MARGIN,SURFACE_FREE_MARGIN,R1_COMPATIBLE_MARGIN,WINDOW8_MARGIN,WINDOW12_MARGIN
OPENAI,DOMAIN_TECHNICAL,cb84c3ba6af142cf1f0b29b4,10,MATCHED_NEG,10788,12,0,-2.422633885660739,1.110455351991269,-1.1195186918091333,3.3110042807075897,-11.812726717894332,-3.121634649123743
OPENAI,BASELINE,1bf6ed7deee78589cefeb5d0,31,MATCHED_NEG,9841,12,0,0.18838654937156962,7.051815381872408,-2.4294250181278496,-2.1086535762657954,0.475358704599531,0.1494295119403003
OPENAI,SURFACE_TERM_REDACT,1bf6ed7deee78589cefeb5d0,31,MATCHED_NEG,9841,12,0,0.18838654937156962,7.051815381872408,-2.4294250181278496,-2.1086535762657954,0.475358704599531,0.1494295119403003
OPENAI,SURFACE_MARKDOWN_FLATTEN,1bf6ed7deee78589cefeb5d0,31,MATCHED_NEG,9698,12,0,0.5862165686283906,7.602923207084134,0.5598740875644435,-0.858255235975537,1.0277957644571223,0.19739284074753358
OPENAI,SURFACE_CASE_PUNCT_NORMALIZED,1bf6ed7deee78589cefeb5d0,31,MATCHED_NEG,9235,12,0,0.47615423203484486,8.240627659142316,-0.7745474974860734,-3.017813449446875,2.2306392473147767,0.3145045726104708
OPENAI,DOMAIN_EDUCATIONAL,a075369b0c070e9767e20309,32,LINEAGE_POS,13057,12,0,0.41237242698357135,7.385845004647803,-1.7765256742624718,-2.717251651098702,5.196158547233604,0.8863043489053534
OPENAI,DOMAIN_ORGANIZATIONAL,0dbccfe0db056b77fe281ede,10,MATCHED_NEG,6062,12,0,-2.5804153377866466,-4.7913248232348895,0.4835506345197018,6.189533509618686,-10.771148639294253,-2.629889271738118
ANTHROPIC,BASELINE,73ba7eb0f78b8341e2a1bc1e,27,MATCHED_NEG,11973,12,0,-1.0425365840884204,-1.759950375237596,-3.1997158725471246,-1.5193146292793067,-2.1512210118008146,-0.15062096640316436
OPENAI,BASELINE,59ff7c4392387af210954698,37,MATCHED_NEG,13569,12,0,0.44827461199671415,6.303815716609397,0.3199459783897485,-2.8968078770249837,-2.2645435438378736,0.47883710306525396
OPENAI,SURFACE_TERM_REDACT,59ff7c4392387af210954698,37,MATCHED_NEG,13569,12,0,0.44827461199671415,6.303815716609397,0.3199459783897485,-2.8968078770249837,-2.2645435438378736,0.47883710306525396
OPENAI,SURFACE_MARKDOWN_FLATTEN,59ff7c4392387af210954698,37,MATCHED_NEG,13331,12,0,0.7289040904593311,7.073528471210275,2.0117348345476977,-1.6249107721233167,-1.9175669857008422,0.5183648410909014
OPENAI,SURFACE_CASE_PUNCT_NORMALIZED,59ff7c4392387af210954698,37,MATCHED_NEG,12759,12,0,0.3831237865752067,7.7747787908902675,-1.596893250118456,-4.545011816312513,0.31246785172614644,0.5577055710536646
OPENAI,BASELINE,5d7ddd88b0e14309758884ee,1,LINEAGE_POS,20261,12,0,0.8162176835505978,3.616912633092368,2.9068131431991864,-1.3926309886344277,-2.251070311133378,0.44876470401682056
OPENAI,SURFACE_TERM_REDACT,5d7ddd88b0e14309758884ee,1,LINEAGE_POS,20261,12,0,0.8162176835505978,3.616912633092368,2.9068131431991864,-1.3926309886344277,-2.251070311133378,0.44876470401682056
OPENAI,SURFACE_MARKDOWN_FLATTEN,5d7ddd88b0e14309758884ee,1,LINEAGE_POS,19866,12,0,0.962191000614541,3.67286012587585,3.4227317211613686,-0.6445739227163593,-2.472939115607933,0.29910054825179777
OPENAI,SURFACE_CASE_PUNCT_NORMALIZED,5d7ddd88b0e14309758884ee,1,LINEAGE_POS,18850,12,0,0.30965571797577884,4.17827504977247,-2.680605013125894,-4.023146997877676,0.8762914053294691,0.3185059843607785
ANTHROPIC,BASELINE,672064ef8ee9faf5f52650a1,27,LINEAGE_POS,16381,12,0,0.4950062674297423,6.527960257112486,-3.7168929551734067,-1.925547771112818,4.843500766787705,0.9501953610712227
GOOGLE,BASELINE,c3a5e9d85152c8a17cdceb1e,36,MATCHED_NEG,18805,12,0,-0.3235227755629761,-0.2812959282503371,-3.0186830763918557,-1.8886550187932403,-0.05913030508063655,0.34810945954205186
OPENAI,DOMAIN_EDUCATIONAL,a68df80734b4045e6f8d0ba7,29,LINEAGE_POS,15878,12,0,0.3207102166233602,3.7736401658574916,0.12092617154010454,-2.211447643125312,2.4801210654684374,0.7473780569560161
OPENAI,DOMAIN_EDUCATIONAL,893c27feb78fa15dc6ce12bc,12,MATCHED_NEG,15641,12,0,0.5019688697195833,7.004881787558998,-1.138674719495104,-2.2583424031612744,0.43354094234634977,0.6552774868400861
OPENAI,DOMAIN_TECHNICAL,c7bba77f33ccf30d0fa2a6c0,38,MATCHED_NEG,15571,12,0,-0.4058693062566986,3.815492278291903,-1.277775785682187,-2.3838467513693984,-0.35123640803863426,0.053915370549972585
GOOGLE,BASELINE,ad230da0f4d627add379e825,36,LINEAGE_POS,15404,12,0,-0.4547126778354076,-0.01770249380617117,-1.0295232518229396,0.4113509369875372,-3.7120714831173998,-0.06435840976839145
GOOGLE,BASELINE,127cafbfc3a4f70c6399c194,30,MATCHED_NEG,14993,12,0,-1.2923052907344061,-1.4940951495928356,-1.74304240765397,-1.267861009545054,-5.537675679483322,-0.6041317822985729
GOOGLE,BASELINE,2429b2c5693cf43b9124dbfd,13,MATCHED_NEG,12773,12,0,-0.6523836394286362,0.035876395135767236,-2.469004445939417,-1.193192589985494,-2.324166286665931,-0.30844475119174025
GOOGLE,BASELINE,68096567447dcf4db16791a9,14,LINEAGE_POS,27747,12,0,2.0297637356353437,2.537672851741288,17.047710422500888,1.3450003101572676,52.32007937545842,8.041925136525627
OPENAI,DOMAIN_ORGANIZATIONAL,c5b43cc2a96ca3bccc618103,29,LINEAGE_POS,18926,12,0,0.0974743012011885,2.3923302675374494,-0.40511025998780514,-1.2962029382629556,4.532339101915118,1.1485742411808713
OPENAI,DOMAIN_ORGANIZATIONAL,bc2b6079a099ae167d6c80a3,35,LINEAGE_POS,32051,12,0,0.6859926606707748,4.056100368764313,3.4923885036463815,0.2396014183162718,-1.5349182208693253,0.5413855671751432
OPENAI,DOMAIN_ORGANIZATIONAL,ec7f1fc465fa66dfaeefb64f,15,MATCHED_NEG,27239,12,0,0.35119959138837165,3.0204399358246503,-0.6891394540059304,-0.5992858815397503,6.60094162393143,1.2287941240713267
OPENAI,DOMAIN_TECHNICAL,5e4bfc77f578f3d05aa25d2f,23,LINEAGE_POS,14906,12,0,0.2091756232575882,3.2409912447609104,4.117695713102955,-1.5647451546064284,2.2168568105187063,0.3739794230437198
OPENAI,DOMAIN_EDUCATIONAL,cc09cc1ebb55f12c656d24a1,37,LINEAGE_POS,19603,12,0,-0.24996684710684597,1.5865961041785384,-1.1334381162577083,-1.5468749623333595,1.8679801782311638,0.37382660786102084
OPENAI,DOMAIN_TECHNICAL,1c2a2439b749415ad25e62ac,15,MATCHED_NEG,21814,12,0,0.4621955713732203,4.73155750012729,-0.6983616776418323,-1.5149228170814668,5.390633722674497,0.8665647988203706
OPENAI,BASELINE,5819974f7b9b84c326b8de0e,13,LINEAGE_POS,13620,12,0,0.6321564350647494,4.5905253366109635,-0.8476700286884641,-2.112515569196275,2.8189711213096045,0.5586139924263308
OPENAI,SURFACE_TERM_REDACT,5819974f7b9b84c326b8de0e,13,LINEAGE_POS,13620,12,0,0.6321564350647494,4.5905253366109635,-0.8476700286884641,-2.112515569196275,2.8189711213096045,0.5586139924263308
OPENAI,SURFACE_MARKDOWN_FLATTEN,5819974f7b9b84c326b8de0e,13,LINEAGE_POS,13333,12,0,0.9147019132161667,5.256702394830814,0.9283277368622986,-0.8238320186059324,3.0761259217130505,0.5400630753591732
OPENAI,SURFACE_CASE_PUNCT_NORMALIZED,5819974f7b9b84c326b8de0e,13,LINEAGE_POS,12778,12,0,0.6343369776118157,5.670380095420091,-1.5286854647728383,-3.6204579285389324,3.741147069115789,0.5710955721082039
OPENAI,DOMAIN_EDUCATIONAL,2089e7f9b06948c25837b27a,12,LINEAGE_POS,14685,12,0,-0.6099415757209685,-0.176474572434407,-2.3802466217735643,-2.7003582256617933,-0.9943083976711863,-0.20296860918649412
GOOGLE,BASELINE,4c4b6c3f44ae331668907ebd,27,LINEAGE_POS,17583,12,0,0.960397919117726,9.69512392172442,-2.310530080157691,-1.350305722658981,8.87295901608726,1.6821876748951399
OPENAI,DOMAIN_TECHNICAL,c979056f112b358f1982fb7e,1,MATCHED_NEG,29271,12,0,1.28270628037684,9.460218429247817,2.326308241770745,0.4198892599153763,11.542068815672916,2.1529354527602513
OPENAI,DOMAIN_TECHNICAL,1987c2d92efef90bc162976c,35,MATCHED_NEG,13276,12,0,0.8900483960582869,7.99476494905383,3.1448763073719985,7.615114303429099,6.037155557406857,1.3967072168339343
OPENAI,DOMAIN_TECHNICAL,583867974895c5c688ee11b3,13,LINEAGE_POS,14567,12,0,0.7069930079189017,3.693798714952435,2.517642107394085,-2.0592570009286364,-3.1164308514377015,0.10005878587180722
OPENAI,DOMAIN_ORGANIZATIONAL,26c74d9dec2d230fbffc8355,10,LINEAGE_POS,16454,12,0,-0.06475958375207339,1.596926209517164,-1.4637431389386941,-2.0917849258119197,0.4381516389867438,0.224167418944668
OPENAI,DOMAIN_TECHNICAL,cb00e25fd849d86db8f95e49,26,LINEAGE_POS,8554,12,0,0.5566582031180449,7.900294864266962,1.8411436708883002,-1.9791902098814798,6.581822211466329,0.8972987955667635
OPENAI,DOMAIN_ORGANIZATIONAL,41d12da5becd59d817ca9614,18,MATCHED_NEG,24863,12,0,0.8576512687594972,8.005064440373566,1.5212482931485338,-0.47103795892051004,5.003379262750901,0.9911622306826681
OPENAI,DOMAIN_TECHNICAL,97ab857136f238b94e8875a4,32,MATCHED_NEG,15558,12,0,-0.3208990345334535,1.8572316184204616,-2.445125326988074,-2.024048445875576,0.08724137876070392,0.10880081122699162
OPENAI,DOMAIN_ORGANIZATIONAL,90c306d45315743d28d6be93,5,LINEAGE_POS,20599,12,0,0.019891708417857118,4.365614711127017,-0.15228289018064767,-1.6994325028020323,3.1130223392970082,0.8329485239951848
OPENAI,DOMAIN_ORGANIZATIONAL,b6fa7aebd0b08a8dd431d98a,25,LINEAGE_POS,22697,12,0,1.0251280787978687,4.477249014928525,4.366780125110158,2.293758454113822,3.0115715573084607,0.9605010235547823
OPENAI,DOMAIN_ORGANIZATIONAL,7caa0c1e2d0ea3163c2b4216,4,MATCHED_NEG,24735,12,0,1.1770681423243445,7.791595325752103,0.4635524980751613,-0.1473146170081927,7.559884714925804,1.8089959107471436
OPENAI,BASELINE,1783938e9992b46bb1a32c6f,39,LINEAGE_POS,13570,12,0,-0.30941420979929113,-0.7649563685710281,-0.7043523013606932,-3.023397693211649,2.9113803889535883,0.5881899331557889
OPENAI,SURFACE_TERM_REDACT,1783938e9992b46bb1a32c6f,39,LINEAGE_POS,13570,12,0,-0.30941420979929113,-0.7649563685710281,-0.7043523013606932,-3.023397693211649,2.9113803889535883,0.5881899331557889
OPENAI,SURFACE_MARKDOWN_FLATTEN,1783938e9992b46bb1a32c6f,39,LINEAGE_POS,13201,12,0,-0.04546357483064317,-0.011656504444677473,0.7383497803874444,-1.8477774486342962,3.4126747446081596,0.5604313716484599
OPENAI,SURFACE_CASE_PUNCT_NORMALIZED,1783938e9992b46bb1a32c6f,39,LINEAGE_POS,12385,12,0,-0.26013859614601387,0.48468951177364805,-1.8330100579948807,-4.151761248939039,0.00655986249701801,-0.06463343252597414
GOOGLE,BASELINE,130dec1ce5729d61f25f84c2,12,MATCHED_NEG,19403,12,0,-0.4824575150102467,2.293405763184515,-3.071030236304754,-1.958251329650767,-0.6469274845985904,0.21508315135929942
OPENAI,DOMAIN_TECHNICAL,09e7e2c8f046dc6c5701dac8,30,MATCHED_NEG,7188,12,0,-0.6494507826943616,0.2936488269501911,1.3063335966103018,-0.3737195914631517,0.4880204602924566,-0.4143206691500829
OPENAI,BASELINE,fc6d6aefce27588c1d5577bd,18,MATCHED_NEG,19911,12,0,1.0659265202193313,9.640790517965517,0.6109417577412275,-1.0330682722993738,5.248432026435589,1.4589499524311782
OPENAI,SURFACE_TERM_REDACT,fc6d6aefce27588c1d5577bd,18,MATCHED_NEG,19911,12,0,1.0659265202193313,9.640790517965517,0.6109417577412275,-1.0330682722993738,5.248432026435589,1.4589499524311782
OPENAI,SURFACE_MARKDOWN_FLATTEN,fc6d6aefce27588c1d5577bd,18,MATCHED_NEG,19292,12,0,1.2248176514542228,9.993371968040584,1.3944942467484243,0.3030760444533791,5.632005188542836,1.3213324858770306
OPENAI,SURFACE_CASE_PUNCT_NORMALIZED,fc6d6aefce27588c1d5577bd,18,MATCHED_NEG,18060,12,0,0.9286188401345948,11.02648296661572,-2.4672923865886807,-4.491756065860219,3.91152100299537,0.9445565853609429
ANTHROPIC,BASELINE,fa81c5c22d71a37d9d1eb74c,35,MATCHED_NEG,20299,12,0,0.08594200989426393,4.367297420539212,-0.828875533524754,-0.07843102064312957,3.5674507432075813,0.9171326135697333
OPENAI,BASELINE,89c351dbed28378f4e474b40,13,MATCHED_NEG,4610,12,0,-1.0943957883453712,-0.09025892202144759,-0.49359460111119724,1.656613898948501,-4.872924506658468,-1.1147339712720428
OPENAI,SURFACE_TERM_REDACT,89c351dbed28378f4e474b40,13,MATCHED_NEG,4610,12,0,-1.0943957883453712,-0.09025892202144759,-0.49359460111119724,1.656613898948501,-4.872924506658468,-1.1147339712720428
