MODEL,LINEAGE_CONVERSATION_ID,LINEAGE_SCORE,EXTERNAL_PERCENTILE,N_EXTERNAL_GE
SURFACE_FREE,69390d0c-8f78-8329-878e-711bb13f3bc6,0.9996978050499923,71.44124168514412,1932
SURFACE_FREE,693d0da2-8304-832f-81b1-c3abcf628232,0.9554796430551048,59.34959349593496,2750
SURFACE_FREE,6940b547-2588-832b-aa19-5d79692f4677,0.8546589483063659,53.200295639320025,3166
SURFACE_FREE,69416cbc-ab28-832e-b813-346ada0aadbb,0.9999391055635033,74.4419807834442,1729
SURFACE_FREE,694352f8-23bc-8325-8444-6d926981c10b,0.9989199887477022,69.06134515890614,2093
SURFACE_FREE,694722a1-c764-8327-9fe3-6dccc1bb5f13,0.9996447450576346,71.13082039911308,1953
SURFACE_FREE,69483672-6f88-832c-860c-e5fdb3ec7133,0.771537254751637,49.63784183296379,3407
SURFACE_FREE,69496114-d678-832b-b342-eb9ba8686bec,0.9998201699941237,72.35772357723577,1870
SURFACE_FREE,694acdaf-ed38-8330-89f3-d6d0624328ef,0.9996420712759128,71.11603843311161,1954
SURFACE_FREE,694c5d34-691c-832d-86f0-1982fcfd921a,0.9939504920587011,65.14412416851442,2358
SURFACE_FREE,694c5ff2-bca8-832e-8b98-2de705fdb38b,0.999390678427277,70.06651884700665,2025
SURFACE_FREE,694f44f9-9448-8330-861e-1d95c09325d6,0.999080410047707,69.38654841093866,2071
SURFACE_FREE,69508cb5-801c-832a-862f-cda4c06c06f4,0.9565622928680309,59.42350332594235,2745
SURFACE_FREE,695307d1-6b48-8333-aaa1-c19965d19a8c,0.999976896067794,75.96452328159646,1626
SURFACE_FREE,6953290d-f444-8325-9567-00c26dd15416,0.9915950783183816,64.2719881744272,2417
SURFACE_FREE,6954a332-4f4c-832c-b203-ffab10ebce32,0.9917208840632451,64.2719881744272,2417
SURFACE_FREE,6955c04b-aeb8-8331-997c-ca99f3c3f749,0.9858955925676143,62.85291943828529,2513
SURFACE_FREE,6956015b-a104-8326-827b-164d4a6b0462,0.9892730148571889,63.562453806356245,2465
SURFACE_FREE,69561d81-e7bc-832f-9f6b-24a43e4ef0a6,0.9785890503366428,61.507760532150776,2604
SURFACE_FREE,695726f4-9868-8329-95fe-4d71d983d464,0.9986030041622149,68.66223207686623,2120
SURFACE_FREE,695b2708-bb9c-832f-b01e-1b1e578450d1,0.992835164745003,64.67110125646711,2390
SURFACE_FREE,695b53b1-09c0-8331-a21e-a40926c0df11,0.9936665723977999,64.99630450849962,2368
SURFACE_FREE,695e4fe4-b8b4-8327-ab90-276040578345,0.9995956932953841,70.9090909090909,1968
SURFACE_FREE,695e9bc7-b158-832c-92e7-316be2bc9388,0.9985346212215797,68.55875831485588,2127
SURFACE_FREE,695fa184-6bb4-8333-b93b-4c92835afc6f,0.9948219334220774,65.66149297856614,2323
SURFACE_FREE,69620104-790c-832d-9aeb-235f1c506764,0.9691004934388692,60.56171470805617,2668
SURFACE_FREE,69653997-63cc-8326-adf6-adbe7a181603,0.9935778293857598,64.96674057649668,2370
SURFACE_FREE,6966fa47-2290-832b-9a39-9419fe50f982,0.9809778471441163,61.87730968218773,2579
SURFACE_FREE,696d2abb-a3e4-8326-9754-399cd2d82695,0.9356292105031578,57.87139689578714,2850
SURFACE_FREE,696d449c-9444-8327-a8e3-fc0da44e1692,0.9949007561379288,65.6910569105691,2321
SURFACE_FREE,6973801a-17e4-832c-b89f-5b7b56aecb55,0.9796952951334272,61.68514412416851,2592
SURFACE_FREE,69826c1b-8508-8389-ac6a-56a19d0f252f,0.9999975157844189,79.37915742793791,1395
SURFACE_FREE,6982cb68-f4c0-838b-ab0c-4cda364a4b46,0.9996544596724016,71.17516629711751,1950
SURFACE_FREE,6983170e-0ef4-838b-8a6f-bd2ddc7fae89,0.984320106013313,62.512934220251296,2536
SURFACE_FREE,698a8fc6-3f44-838e-9ab4-5fd12d86464d,0.9992709977382133,69.7708795269771,2045
SURFACE_FREE,698b52ae-7750-8396-b842-1cd509e0e362,0.9944502998337104,65.49889135254989,2334
SURFACE_FREE,698f83f2-194c-838e-977d-dd1ce7e5b3a2,0.997223373842305,67.1840354767184,2220
SURFACE_FREE,69912686-e42c-8388-bf9a-b93c32b88046,0.9995379242056128,70.73170731707317,1980
SURFACE_FREE,6993581e-2f84-8395-8954-317d83c1ba9c,0.9996860703781774,71.3229859571323,1940
SURFACE_FREE,69952531-2ca4-838d-a6f0-d8235f45c718,0.9997869111711584,72.03252032520325,1892
SURFACE_FREE,6997c5fe-6da8-8396-a983-29d32242f5c0,0.9910347948923778,64.10938654841094,2428
SURFACE_FREE,699b3ded-9c44-8384-b608-a0c2f82bfa99,0.9997018444524505,71.4560236511456,1931
SURFACE_FREE,699b4071-432c-8394-8524-2cecca087caf,0.9943452946230028,65.39541759053954,2341
SURFACE_FREE,699b4102-7498-8387-bea9-6fc4983dd5cf,0.9901973535030577,63.76940133037694,2451
SURFACE_FREE,699b4744-9ae0-8385-aa0a-3a270d22ecef,0.9996186531059471,70.99778270509978,1962
SURFACE_FREE,699c384b-93d8-8392-8821-690834cce9d3,0.7943545456903598,50.539541759053954,3346
SURFACE_FREE,699f3baf-8f18-838a-af68-366a140ccbb4,0.9993997505461363,70.12564671101256,2021
SURFACE_FREE,69a230d3-b9f0-8386-ac75-74414854330a,0.9998428339761809,72.56467110125647,1856
SURFACE_FREE,69a62529-b488-8384-adbb-76818a331be3,0.9931487052041399,64.78935698447894,2382
SURFACE_FREE,69a87432-4cfc-8393-b1de-11ffb49d90fa,0.9991078323318028,69.40133037694012,2070
SURFACE_FREE,69aaf0e9-f31c-8394-bff4-8243bb4f1595,0.9999599242637596,75.07760532150776,1686
SURFACE_FREE,69b0e87b-82e0-8390-bfd9-44c881aea4b3,0.9997447471992065,71.73688100517369,1912
SURFACE_FREE,69b241cf-b030-838c-b5f0-4d5b0f29afe6,0.9945741821648311,65.54323725055433,2331
SURFACE_FREE,69b4da18-b5e8-8393-a726-f1e0e6893b54,0.9983012477071493,68.24833702882484,2148
SURFACE_FREE,69ba27b1-ac1c-8391-868b-3bcd85fca150,0.999999937558944,84.98152254249815,1016
SURFACE_FREE,69cc7d4b-6f4c-8391-b0e1-3396ff70aa11,0.9999731853224533,75.77235772357723,1639
SURFACE_FREE,69d1df31-7154-8396-8451-08d6eb5b458c,0.9999591136743681,75.01847745750186,1690
