SEED,CONDITION,SEQ_INPUT_EDGE_COHERENCE,SEQ_INPUT_ORDER_COHERENCE,PLUS_SEQ_COHERENCE,PLUS_REACHABILITY,MINUS_SEQ_CONFLICT,KEEP_DEGREE_CENTRALITY,KEEP_SPREAD,SWITCH_VALIDITY,END_SEQUENCE_POSITION,END_SINKNESS,CODE_SEQ_COHERENCE,CODE_CONNECTEDNESS,FINAL_RECIPROCITY,FINAL_SCC_COUNT,FINAL_LARGEST_SCC_FRAC,FINAL_TRANSITIVITY,FINAL_IN_DEGREE_SD,FINAL_OUT_DEGREE_SD,REP,CELL_KEY,OUTPUT_TOKENS_DIAGNOSTIC
0,L_FORWARD_CONTROL,1.0,1.0,0.0,0.0,0.0,0.21428571428571427,0.14285714285714285,0.5,1.0,0.7142857142857143,1.0,0.6666666666666666,0.0,3.0,0.75,0.2727272727272727,0.6959705453537527,0.4841229182759271,0,0|L_FORWARD_CONTROL|0,107
0,L_FORWARD_CONTROL,1.0,1.0,0.0,0.0,0.0,0.25,0.14285714285714285,0.5,1.0,0.7142857142857143,1.0,1.0,0.0,1.0,1.0,0.2857142857142857,0.4841229182759271,0.4841229182759271,1,0|L_FORWARD_CONTROL|1,107
0,L_FORWARD_CONTROL,1.0,1.0,0.0,0.0,0.0,0.25,0.14285714285714285,0.5,1.0,0.7142857142857143,1.0,1.0,0.0,3.0,0.75,0.2727272727272727,0.4841229182759271,0.6959705453537527,2,0|L_FORWARD_CONTROL|2,107
0,G_RANDOM_CONTROL,0.8,1.0,0.5,0.0,0.0,0.21428571428571427,0.2857142857142857,0.5,1.0,0.8571428571428572,0.75,0.42857142857142855,0.18181818181818182,1.0,1.0,0.0,0.6959705453537527,0.4841229182759271,0,0|G_RANDOM_CONTROL|0,107
0,G_RANDOM_CONTROL,0.8,1.0,0.5,0.0,0.0,0.25,0.14285714285714285,0.5,1.0,0.8571428571428572,0.75,0.42857142857142855,0.0,3.0,0.75,0.14285714285714285,0.8569568250501305,0.4841229182759271,1,0|G_RANDOM_CONTROL|1,107
0,G_RANDOM_CONTROL,0.8,1.0,0.5,0.0,1.0,0.21428571428571427,0.14285714285714285,0.5,1.0,0.8571428571428572,0.75,0.42857142857142855,0.0,1.0,1.0,0.15,0.4841229182759271,0.4841229182759271,2,0|G_RANDOM_CONTROL|2,107
0,S_SURFACE_FORMAT_CONTROL,0.7,1.0,0.0,0.0,1.0,0.21428571428571427,0.14285714285714285,1.0,1.0,0.7142857142857143,1.0,1.0,0.0,1.0,1.0,0.2857142857142857,0.6959705453537527,0.4841229182759271,0,0|S_SURFACE_FORMAT_CONTROL|0,119
0,S_SURFACE_FORMAT_CONTROL,0.7,1.0,0.0,0.0,0.0,0.21428571428571427,0.14285714285714285,1.0,1.0,0.7142857142857143,1.0,1.0,0.0,3.0,0.75,0.2727272727272727,0.8569568250501305,0.4841229182759271,1,0|S_SURFACE_FORMAT_CONTROL|1,119
0,S_SURFACE_FORMAT_CONTROL,0.7,1.0,0.0,0.0,0.0,0.21428571428571427,0.14285714285714285,0.5,1.0,0.7142857142857143,1.0,1.0,0.0,3.0,0.75,0.2727272727272727,0.8569568250501305,0.4841229182759271,2,0|S_SURFACE_FORMAT_CONTROL|2,107
1,A_AUTHENTIC,0.7,1.0,0.0,0.0,0.0,0.21428571428571427,0.14285714285714285,0.5,1.0,0.7142857142857143,1.0,1.0,0.0,3.0,0.75,0.14285714285714285,0.6959705453537527,0.4841229182759271,0,1|A_AUTHENTIC|0,107
1,A_AUTHENTIC,0.7,1.0,0.0,0.0,0.0,0.21428571428571427,0.14285714285714285,0.5,1.0,0.7142857142857143,1.0,1.0,0.0,3.0,0.75,0.2727272727272727,0.8569568250501305,0.4841229182759271,1,1|A_AUTHENTIC|1,107
1,A_AUTHENTIC,0.7,1.0,0.0,0.0,1.0,0.21428571428571427,0.14285714285714285,0.5,1.0,0.7142857142857143,1.0,1.0,0.0,1.0,1.0,0.0,0.4841229182759271,0.4841229182759271,2,1|A_AUTHENTIC|2,107
1,I_ISOMORPHIC_RELABEL,0.7,1.0,0.0,0.0,1.0,0.21428571428571427,0.14285714285714285,0.5,1.0,0.7142857142857143,1.0,1.0,0.0,1.0,1.0,0.0,0.4841229182759271,0.4841229182759271,0,1|I_ISOMORPHIC_RELABEL|0,107
1,I_ISOMORPHIC_RELABEL,0.7,1.0,0.5,0.5,1.0,0.21428571428571427,0.14285714285714285,0.5,1.0,0.8571428571428572,1.0,1.0,0.0,1.0,1.0,0.0,0.4841229182759271,0.4841229182759271,1,1|I_ISOMORPHIC_RELABEL|1,107
1,I_ISOMORPHIC_RELABEL,0.7,1.0,0.0,0.0,1.0,0.21428571428571427,0.14285714285714285,0.5,1.0,0.7142857142857143,1.0,1.0,0.0,1.0,1.0,0.0,0.4841229182759271,0.4841229182759271,2,1|I_ISOMORPHIC_RELABEL|2,107
1,D_DIRECTION_REVERSED,0.3,1.0,0.5,0.5,0.0,0.25,0.14285714285714285,0.5,1.0,0.7142857142857143,0.0,1.0,0.0,2.0,0.875,0.14285714285714285,0.6959705453537527,0.4841229182759271,0,1|D_DIRECTION_REVERSED|0,107
1,D_DIRECTION_REVERSED,0.3,1.0,0.5,0.5,0.0,0.17857142857142855,0.42857142857142855,0.5,1.0,0.7142857142857143,0.0,1.0,0.0,2.0,0.875,0.2857142857142857,0.6959705453537527,0.4841229182759271,1,1|D_DIRECTION_REVERSED|1,107
1,D_DIRECTION_REVERSED,0.3,1.0,0.0,1.0,0.0,0.21428571428571427,0.14285714285714285,0.5,1.0,0.7142857142857143,0.0,1.0,0.0,4.0,0.625,0.0,0.6959705453537527,0.6959705453537527,2,1|D_DIRECTION_REVERSED|2,107
1,O_ORDER_SHUFFLED,0.4,1.0,0.5,0.5,0.0,0.21428571428571427,0.14285714285714285,1.0,0.42857142857142855,0.8571428571428572,0.25,1.0,0.0,1.0,1.0,0.0,0.4841229182759271,0.4841229182759271,0,1|O_ORDER_SHUFFLED|0,119
1,O_ORDER_SHUFFLED,0.4,1.0,0.5,0.5,0.0,0.21428571428571427,0.14285714285714285,0.5,0.42857142857142855,0.8571428571428572,0.25,1.0,0.0,1.0,1.0,0.0,0.4841229182759271,0.4841229182759271,1,1|O_ORDER_SHUFFLED|1,107
1,O_ORDER_SHUFFLED,0.4,1.0,0.5,0.0,1.0,0.21428571428571427,0.14285714285714285,0.5,0.42857142857142855,0.7142857142857143,0.25,1.0,0.0,1.0,1.0,0.15,0.4841229182759271,0.4841229182759271,2,1|O_ORDER_SHUFFLED|2,107
1,M_SWITCH_NEUTRALIZED,0.7,1.0,0.0,0.0,0.0,0.25,0.14285714285714285,0.5,1.0,0.7142857142857143,1.0,1.0,0.0,3.0,0.75,0.13636363636363635,0.6959705453537527,0.4841229182759271,0,1|M_SWITCH_NEUTRALIZED|0,107
1,M_SWITCH_NEUTRALIZED,0.7,1.0,0.0,0.0,0.0,0.21428571428571427,0.14285714285714285,1.0,1.0,0.7142857142857143,0.75,1.0,0.0,3.0,0.75,0.2727272727272727,0.8569568250501305,0.4841229182759271,1,1|M_SWITCH_NEUTRALIZED|1,119
1,M_SWITCH_NEUTRALIZED,0.7,1.0,0.0,0.0,0.0,0.21428571428571427,0.14285714285714285,1.0,1.0,0.7142857142857143,1.0,1.0,0.0,3.0,0.75,0.14285714285714285,0.6959705453537527,0.4841229182759271,2,1|M_SWITCH_NEUTRALIZED|2,119
