NEGATIVE_EVIDENCE_ID,SOURCE_PATH,MATCHES,EXCERPT,CLASSIFICATION,INVALIDATED,PRESERVE,ADJUDICATION_STATUS
NEG-011,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\V6_CLEAN_FINGERPRINT_CONFIRMATORY_REPLICATION\14_ABLATION_GRADIENT.csv,14.215,"lesion,condition,mean_fingerprint,median_fingerprint AUTHENTIC,A0_AUTHENTIC,14.215,14.375 SINGLE_DIRECTION,D_DIRECTION_REVERSED,14.255,14.5 SINGLE_PRESERVATION,P_PRESERVATION_ABLATED,9.0075,9.0 DOUBLE_DIRECTION_META,DM_DIRECTION_META_DAMAGE,16.66,16.5 DOUBLE_DIRECTION_PRESERVATION,DP_DIRECTION_PRESERVATION_DAMAGE,14.89,15.0 DOUBLE_ORDER_PRESERVATION,OP_ORDER_PRESERVATION_DAMAGE,13.4175,13.25 DOUBLE_PRESERVATION_TERMINAL,PT_PRESERVATION_TERMINAL_DAMAGE,6.3275,6.0 ",HISTORICAL_NEGATIVE_OR_DIAGNOSTIC_EVIDENCE,NO_AUTOMATIC_INVALIDATION,YES,REQUIRES_EXPERIMENT_LEVEL_CONTEXT_LINKAGE
NEG-012,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\V6_CLEAN_FINGERPRINT_CONFIRMATORY_REPLICATION\16_FINAL_SUMMARY.json,16.6575|14.215," ""mean_latency"": 3.0242620170116425 }, { ""condition"": ""C_COMPRESSION_ABLATED"", ""N"": 100, ""mean_fingerprint"": 12.625, ""median_fingerprint"": 12.5, ""sd_fingerprint"": 1.6470435711457438, ""mean_output_tokens"": 157.5775, ""mean_latency"": 3.1610932248830794 }, { ""condition"": ""R_RECURSION_CONTROL"", ""N"": 100, ""mean_fingerprint"": 16.6575, ""median_fingerprint"": 17.0, ""sd_fingerprint"": 3.917819785121167, ""mean_output_tokens"": 239.845, ""mean_latency"": 4.177248855829239 }, { ""condition"": ""X_COMPLEXITY_CONTROL"", ""N"": 100, ""mean_fingerprint"": 13.6775, ""median_fingerprint"": 13.25, ""sd_fingerprint"": 1.9621722527583938, ""mean_output_tokens"": 257.4175, ""mean_latency""",HISTORICAL_NEGATIVE_OR_DIAGNOSTIC_EVIDENCE,NO_AUTOMATIC_INVALIDATION,YES,REQUIRES_EXPERIMENT_LEVEL_CONTEXT_LINKAGE
NEG-013,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\V6_CLEAN_FINGERPRINT_CONFIRMATORY_REPLICATION\08_CONDITION_RESULTS.csv,16.6575|14.215,"53,138.725,2.8405903190374375 M_META_CONTROL_ABLATED,100,9.6225,9.5,1.9992091239317917,113.1125,2.622866168022156 P_PRESERVATION_ABLATED,100,9.0075,9.0,1.5892850657456075,126.6225,2.7799838906526566 T_TERMINAL_COUNTERFACTUAL,100,11.9625,12.125,1.8095478396103222,144.4925,3.0242620170116425 C_COMPRESSION_ABLATED,100,12.625,12.5,1.6470435711457438,157.5775,3.1610932248830794 R_RECURSION_CONTROL,100,16.6575,17.0,3.917819785121167,239.845,4.177248855829239 X_COMPLEXITY_CONTROL,100,13.6775,13.25,1.9621722527583938,257.4175,4.47895131111145 L_LINEAR_CONTROL,100,3.27,3.25,1.268141087648302,59.3,2.0011862474679947 G_RANDOM_GRAPH_CONTROL,100,8.9525,9.0,2.3106841765235604,249.63,4.3711336356401445 DM_DIRECTION_META_DAMAGE,100,16.66,16.5,2.11342510077023,208.635,3.6537709367275237 DP_DIRECTION_PRESERVATION_",HISTORICAL_NEGATIVE_OR_DIAGNOSTIC_EVIDENCE,NO_AUTOMATIC_INVALIDATION,YES,REQUIRES_EXPERIMENT_LEVEL_CONTEXT_LINKAGE
NEG-014,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\V6_CLEAN_FINGERPRINT_CONFIRMATORY_REPLICATION\09_COORDINATE_CONTRASTS.csv,16.6575|14.215,"099999e-06,2.976374826197914e-18,0.00014999850001499987,True TERMINAL,A0_AUTHENTIC,T_TERMINAL_COUNTERFACTUAL,14.215,11.9625,2.2525,9.99990000099999e-06,2.577801284811099e-12,0.00014999850001499987,True COMPRESSION,A0_AUTHENTIC,C_COMPRESSION_ABLATED,14.215,12.625,1.59,9.99990000099999e-06,1.71770384426831e-08,0.00014999850001499987,True RECURSION_SPECIFICITY,A0_AUTHENTIC,R_RECURSION_CONTROL,14.215,16.6575,-2.4425,1.0,0.9999999565321929,1.0,False COMPLEXITY_SPECIFICITY,A0_AUTHENTIC,X_COMPLEXITY_CONTROL,14.215,13.6775,0.5375,0.016599834001659982,0.04052690599189003,0.09959900400995989,False LINEAR_SPECIFICITY,A0_AUTHENTIC,L_LINEAR_CONTROL,14.215,3.27,10.945,9.99990000099999e-06,1.9162201157119843e-18,0.00014999850001499987,True GRAPH_SPECIFICITY,A0_AUTHENTIC,G_RANDOM_GRAPH_CONTROL,14.215,8.9525,5.26",HISTORICAL_NEGATIVE_OR_DIAGNOSTIC_EVIDENCE,NO_AUTOMATIC_INVALIDATION,YES,REQUIRES_EXPERIMENT_LEVEL_CONTEXT_LINKAGE
NEG-015,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\V6_CLEAN_FINGERPRINT_CONFIRMATORY_REPLICATION\14_ABLATION_GRADIENT.csv,14.215,"lesion,condition,mean_fingerprint,median_fingerprint AUTHENTIC,A0_AUTHENTIC,14.215,14.375 SINGLE_DIRECTION,D_DIRECTION_REVERSED,14.255,14.5 SINGLE_PRESERVATION,P_PRESERVATION_ABLATED,9.0075,9.0 DOUBLE_DIRECTION_META,DM_DIRECTION_META_DAMAGE,16.66,16.5 DOUBLE_DIRECTION_PRESERVATION,DP_DIRECTION_PRESERVATION_DAMAGE,14.89,15.0 DOUBLE_ORDER_PRESERVATION,OP_ORDER_PRESERVATION_DAMAGE,13.4175,13.25 DOUBLE_PRESERVATION_TERMINAL,PT_PRESERVATION_TERMINAL_DAMAGE,6.3275,6.0 ",HISTORICAL_NEGATIVE_OR_DIAGNOSTIC_EVIDENCE,NO_AUTOMATIC_INVALIDATION,YES,REQUIRES_EXPERIMENT_LEVEL_CONTEXT_LINKAGE
NEG-016,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\V6_CLEAN_FINGERPRINT_CONFIRMATORY_REPLICATION\16_FINAL_SUMMARY.json,16.6575|14.215," ""mean_latency"": 3.0242620170116425 }, { ""condition"": ""C_COMPRESSION_ABLATED"", ""N"": 100, ""mean_fingerprint"": 12.625, ""median_fingerprint"": 12.5, ""sd_fingerprint"": 1.6470435711457438, ""mean_output_tokens"": 157.5775, ""mean_latency"": 3.1610932248830794 }, { ""condition"": ""R_RECURSION_CONTROL"", ""N"": 100, ""mean_fingerprint"": 16.6575, ""median_fingerprint"": 17.0, ""sd_fingerprint"": 3.917819785121167, ""mean_output_tokens"": 239.845, ""mean_latency"": 4.177248855829239 }, { ""condition"": ""X_COMPLEXITY_CONTROL"", ""N"": 100, ""mean_fingerprint"": 13.6775, ""median_fingerprint"": 13.25, ""sd_fingerprint"": 1.9621722527583938, ""mean_output_tokens"": 257.4175, ""mean_latency""",HISTORICAL_NEGATIVE_OR_DIAGNOSTIC_EVIDENCE,NO_AUTOMATIC_INVALIDATION,YES,REQUIRES_EXPERIMENT_LEVEL_CONTEXT_LINKAGE
NEG-017,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN\08_CONDITION_RESULTS.csv,16.6575|14.215,"53,138.725,2.8405903190374375 M_META_CONTROL_ABLATED,100,9.6225,9.5,1.9992091239317917,113.1125,2.622866168022156 P_PRESERVATION_ABLATED,100,9.0075,9.0,1.5892850657456075,126.6225,2.7799838906526566 T_TERMINAL_COUNTERFACTUAL,100,11.9625,12.125,1.8095478396103222,144.4925,3.0242620170116425 C_COMPRESSION_ABLATED,100,12.625,12.5,1.6470435711457438,157.5775,3.1610932248830794 R_RECURSION_CONTROL,100,16.6575,17.0,3.917819785121167,239.845,4.177248855829239 X_COMPLEXITY_CONTROL,100,13.6775,13.25,1.9621722527583938,257.4175,4.47895131111145 L_LINEAR_CONTROL,100,3.27,3.25,1.268141087648302,59.3,2.0011862474679947 G_RANDOM_GRAPH_CONTROL,100,8.9525,9.0,2.3106841765235604,249.63,4.3711336356401445 DM_DIRECTION_META_DAMAGE,100,16.66,16.5,2.11342510077023,208.635,3.6537709367275237 DP_DIRECTION_PRESERVATION_",HISTORICAL_NEGATIVE_OR_DIAGNOSTIC_EVIDENCE,NO_AUTOMATIC_INVALIDATION,YES,REQUIRES_EXPERIMENT_LEVEL_CONTEXT_LINKAGE
NEG-018,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN\09_COORDINATE_CONTRASTS.csv,16.6575|14.215,"099999e-06,2.976374826197914e-18,0.00014999850001499987,True TERMINAL,A0_AUTHENTIC,T_TERMINAL_COUNTERFACTUAL,14.215,11.9625,2.2525,9.99990000099999e-06,2.577801284811099e-12,0.00014999850001499987,True COMPRESSION,A0_AUTHENTIC,C_COMPRESSION_ABLATED,14.215,12.625,1.59,9.99990000099999e-06,1.71770384426831e-08,0.00014999850001499987,True RECURSION_SPECIFICITY,A0_AUTHENTIC,R_RECURSION_CONTROL,14.215,16.6575,-2.4425,1.0,0.9999999565321929,1.0,False COMPLEXITY_SPECIFICITY,A0_AUTHENTIC,X_COMPLEXITY_CONTROL,14.215,13.6775,0.5375,0.016599834001659982,0.04052690599189003,0.09959900400995989,False LINEAR_SPECIFICITY,A0_AUTHENTIC,L_LINEAR_CONTROL,14.215,3.27,10.945,9.99990000099999e-06,1.9162201157119843e-18,0.00014999850001499987,True GRAPH_SPECIFICITY,A0_AUTHENTIC,G_RANDOM_GRAPH_CONTROL,14.215,8.9525,5.26",HISTORICAL_NEGATIVE_OR_DIAGNOSTIC_EVIDENCE,NO_AUTOMATIC_INVALIDATION,YES,REQUIRES_EXPERIMENT_LEVEL_CONTEXT_LINKAGE
NEG-019,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN\14_ABLATION_GRADIENT.csv,14.215,"lesion,condition,mean_fingerprint,median_fingerprint AUTHENTIC,A0_AUTHENTIC,14.215,14.375 SINGLE_DIRECTION,D_DIRECTION_REVERSED,14.255,14.5 SINGLE_PRESERVATION,P_PRESERVATION_ABLATED,9.0075,9.0 DOUBLE_DIRECTION_META,DM_DIRECTION_META_DAMAGE,16.66,16.5 DOUBLE_DIRECTION_PRESERVATION,DP_DIRECTION_PRESERVATION_DAMAGE,14.89,15.0 DOUBLE_ORDER_PRESERVATION,OP_ORDER_PRESERVATION_DAMAGE,13.4175,13.25 DOUBLE_PRESERVATION_TERMINAL,PT_PRESERVATION_TERMINAL_DAMAGE,6.3275,6.0 ",HISTORICAL_NEGATIVE_OR_DIAGNOSTIC_EVIDENCE,NO_AUTOMATIC_INVALIDATION,YES,REQUIRES_EXPERIMENT_LEVEL_CONTEXT_LINKAGE
NEG-020,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN\16_FINAL_SUMMARY.json,16.6575|14.215," ""mean_latency"": 3.0242620170116425 }, { ""condition"": ""C_COMPRESSION_ABLATED"", ""N"": 100, ""mean_fingerprint"": 12.625, ""median_fingerprint"": 12.5, ""sd_fingerprint"": 1.6470435711457438, ""mean_output_tokens"": 157.5775, ""mean_latency"": 3.1610932248830794 }, { ""condition"": ""R_RECURSION_CONTROL"", ""N"": 100, ""mean_fingerprint"": 16.6575, ""median_fingerprint"": 17.0, ""sd_fingerprint"": 3.917819785121167, ""mean_output_tokens"": 239.845, ""mean_latency"": 4.177248855829239 }, { ""condition"": ""X_COMPLEXITY_CONTROL"", ""N"": 100, ""mean_fingerprint"": 13.6775, ""median_fingerprint"": 13.25, ""sd_fingerprint"": 1.9621722527583938, ""mean_output_tokens"": 257.4175, ""mean_latency""",HISTORICAL_NEGATIVE_OR_DIAGNOSTIC_EVIDENCE,NO_AUTOMATIC_INVALIDATION,YES,REQUIRES_EXPERIMENT_LEVEL_CONTEXT_LINKAGE
NEG-021,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\03_REQUEST_METADATA.csv,14.215,"resp_014a5e9ceb963239016aa2d9330ff487d2a3eb56288f8cdb43,2026-09-10T16:22:10.925495+00:00,2026-09-10T16:22:14.132178+00:00,3.2067019939422607,143,220,0.0002926,52606996724edddcfd1b66193f6c56d0f111e305aaafe91da28d073f2b6cf66f 0adf19a7db86314dc3b5aa19,K6_RECONSTRUCTION_ABLATION,60,7,gpt-5.6-luna,resp_075c38bf0b7773e0016aa2d933595887d292e79d7a3e8d12f9,2026-09-10T16:22:11.217430+00:00,2026-09-10T16:22:14.215842+00:00,2.9984307289123535,157,220,0.0002954,6549e4e968bd2aa5c85e9329935c588cece9c51789194fce797a70ae900c3f0d 7f20ce293f9d8817dc1692a4,RSOS_BLIND_PARTIAL_TOPOLOGY,32,2,gpt-5.6-luna,resp_03b77bcc66e05272016aa2d9335fbc87d294074daa41daf125,2026-09-10T16:22:11.150723+00:00,2026-09-10T16:22:14.356946+00:00,3.2062418460845947,180,220,0.00030000000000000003,0facf0022aa26b6fefc7ca3c87aabcb1330d301e39d3a",HISTORICAL_NEGATIVE_OR_DIAGNOSTIC_EVIDENCE,NO_AUTOMATIC_INVALIDATION,YES,REQUIRES_EXPERIMENT_LEVEL_CONTEXT_LINKAGE
