SCOPE,PARTITION,CONTROL,N,AUTH_ADVANTAGE,P,HOLM_P,PASS
N1_COHERENT,ALL,RANDOM,65,0.4315136588452883,4.999750012499375e-05,0.00024998750062496874,True
N1_COHERENT,DEVELOPMENT,DEGREE_MATCHED,34,0.21974672380513263,0.000199990000499975,0.000999950002499875,True
N1_COHERENT,DEVELOPMENT,COMPLEXITY_MATCHED,34,0.04331820243243018,0.0207989600519974,0.0415979201039948,True
N1_COHERENT,DEVELOPMENT,TOPOLOGY_MATCHED,34,0.0003437537456331179,0.9486525673716314,0.9486525673716314,False
N1_COHERENT,DEVELOPMENT,FORWARD,34,0.40192845931831306,0.003949802509874506,0.011849407529623518,True
N1_COHERENT,DEVELOPMENT,RANDOM,34,0.4068965855701419,0.0002999850007499625,0.00119994000299985,True
N1_COHERENT,CONFIRMATION,DEGREE_MATCHED,15,0.18538501323013082,0.05564721763911804,0.22258887055647217,False
N1_COHERENT,CONFIRMATION,COMPLEXITY_MATCHED,15,0.013926945576950593,0.6281185940702965,0.6281185940702965,False
N1_COHERENT,CONFIRMATION,TOPOLOGY_MATCHED,15,0.00693547463085145,0.18999050047497626,0.3799810009499525,False
N1_COHERENT,CONFIRMATION,FORWARD,15,0.3082097774455509,0.12464376781160942,0.3739313034348283,False
N1_COHERENT,CONFIRMATION,RANDOM,15,0.4284285871360388,0.012549372531373431,0.06274686265686716,False
N1_COHERENT,FINAL_HOLDOUT,DEGREE_MATCHED,16,0.34098399610954366,0.00039998000099995,0.0015999200039998,True
N1_COHERENT,FINAL_HOLDOUT,COMPLEXITY_MATCHED,16,-0.0037683755893032286,0.8722563871806409,0.8722563871806409,False
N1_COHERENT,FINAL_HOLDOUT,TOPOLOGY_MATCHED,16,0.012988061474993085,0.2070396480175991,0.4140792960351982,False
N1_COHERENT,FINAL_HOLDOUT,FORWARD,16,0.4141131959902644,0.002999850007499625,0.008999550022498876,True
N1_COHERENT,FINAL_HOLDOUT,RANDOM,16,0.4867171942823954,0.000199990000499975,0.000999950002499875,True
N2_STABLE,ALL,DEGREE_MATCHED,65,0.3376826343979021,4.999750012499375e-05,0.00024998750062496874,True
N2_STABLE,ALL,COMPLEXITY_MATCHED,65,0.03147091903550634,0.028448577571121444,0.05689715514224289,False
N2_STABLE,ALL,TOPOLOGY_MATCHED,65,0.0015366565774238014,0.6524173791310435,0.6524173791310435,False
N2_STABLE,ALL,FORWARD,65,0.7579844931749892,4.999750012499375e-05,0.00024998750062496874,True
N2_STABLE,ALL,RANDOM,65,0.6679443547917526,4.999750012499375e-05,0.00024998750062496874,True
N2_STABLE,DEVELOPMENT,DEGREE_MATCHED,34,0.2747279222126609,4.999750012499375e-05,0.00024998750062496874,True
N2_STABLE,DEVELOPMENT,COMPLEXITY_MATCHED,34,0.01435051122582262,0.4658767061646918,0.8674566271686416,False
N2_STABLE,DEVELOPMENT,TOPOLOGY_MATCHED,34,0.004295506679757679,0.4337283135843208,0.8674566271686416,False
N2_STABLE,DEVELOPMENT,FORWARD,34,0.7533607552267343,4.999750012499375e-05,0.00024998750062496874,True
N2_STABLE,DEVELOPMENT,RANDOM,34,0.6755681155526556,4.999750012499375e-05,0.00024998750062496874,True
