"TYPE","ID","SOURCE_FILE","RELATIVE_PATH","SIZE_BYTES","SIZE_MB","EXTENSION","ACTION","REASON"
"HISTORICAL_RUN","RUN-001","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\08_PACKAGE\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\RSOS_W_RESULTS\RSOS_W_RESULTS_UPLOAD.zip","08_PACKAGE\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\RSOS_W_RESULTS\RSOS_W_RESULTS_UPLOAD.zip","105520","0,101",".zip","BINARY_ARTIFACT_REVIEW","Binary/archive artifact; decide Git LFS, Release, or hash-only publication"
"HISTORICAL_RUN","RUN-001","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\08_PACKAGE\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\RSOS_Z2_RESULTS\RSOS_Z2_RESULTS_UPLOAD.zip","08_PACKAGE\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\RSOS_Z2_RESULTS\RSOS_Z2_RESULTS_UPLOAD.zip","102061","0,097",".zip","BINARY_ARTIFACT_REVIEW","Binary/archive artifact; decide Git LFS, Release, or hash-only publication"
"HISTORICAL_RUN","RUN-002","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-002__V11_OpenAI_Relational_Graph_Fingerprint_Final_Historical_Run\08_PACKAGE\SOURCE\RSOS  Python Results\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL\17_RAW_API_OBJECTS.jsonl.gz","08_PACKAGE\SOURCE\RSOS  Python Results\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL\17_RAW_API_OBJECTS.jsonl.gz","349792","0,334",".gz","BINARY_ARTIFACT_REVIEW","Binary/archive artifact; decide Git LFS, Release, or hash-only publication"
"HISTORICAL_RUN","RUN-004","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\00_CONTROL\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\02_BLIND_DISCOVERY\F1_BLIND_U_ASSIGNMENTS.parquet","00_CONTROL\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\02_BLIND_DISCOVERY\F1_BLIND_U_ASSIGNMENTS.parquet","3940837","3,758",".parquet","LOCAL_DATASET","Raw/external dataset; retain locally and reference by manifest/hash"
"HISTORICAL_RUN","RUN-004","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\05_OUTPUTS\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\02_BLIND_DISCOVERY\F1_PRIMARY_DERIVED_BLIND_FEATURE_MATRIX.parquet","05_OUTPUTS\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\02_BLIND_DISCOVERY\F1_PRIMARY_DERIVED_BLIND_FEATURE_MATRIX.parquet","3842834","3,665",".parquet","LOCAL_DATASET","Raw/external dataset; retain locally and reference by manifest/hash"
"HISTORICAL_RUN","RUN-004","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\08_PACKAGE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\F1_DEV_LMARENA_BLIND_R1.zip","08_PACKAGE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\F1_DEV_LMARENA_BLIND_R1.zip","11798185","11,252",".zip","BINARY_ARTIFACT_REVIEW","Binary/archive artifact; decide Git LFS, Release, or hash-only publication"
"HISTORICAL_RUN","RUN-005","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-005__F1_Development_R2_LM_Arena_Blind_Hardened\08_PACKAGE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R2_HARDENED\F1_DEV_LMARENA_BLIND_R2_HARDENED_RESULTS.zip","08_PACKAGE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R2_HARDENED\F1_DEV_LMARENA_BLIND_R2_HARDENED_RESULTS.zip","125986400","120,15",".zip","LARGE_ARTIFACT_REVIEW",">=95 MB; do not place in normal Git history"
"HISTORICAL_RUN","RUN-005","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-005__F1_Development_R2_LM_Arena_Blind_Hardened\09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R2_HARDENED\07_FROZEN_MODELS\ALL_FROZEN_MODEL.joblib","09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R2_HARDENED\07_FROZEN_MODELS\ALL_FROZEN_MODEL.joblib","63494430","60,553",".joblib","BINARY_ARTIFACT_REVIEW","Binary/archive artifact; decide Git LFS, Release, or hash-only publication"
"HISTORICAL_RUN","RUN-005","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-005__F1_Development_R2_LM_Arena_Blind_Hardened\09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R2_HARDENED\07_FROZEN_MODELS\CODE_FROZEN_MODEL.joblib","09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R2_HARDENED\07_FROZEN_MODELS\CODE_FROZEN_MODEL.joblib","19221105","18,331",".joblib","BINARY_ARTIFACT_REVIEW","Binary/archive artifact; decide Git LFS, Release, or hash-only publication"
"HISTORICAL_RUN","RUN-005","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-005__F1_Development_R2_LM_Arena_Blind_Hardened\09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R2_HARDENED\07_FROZEN_MODELS\NONCODE_FROZEN_MODEL.joblib","09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R2_HARDENED\07_FROZEN_MODELS\NONCODE_FROZEN_MODEL.joblib","44825056","42,749",".joblib","BINARY_ARTIFACT_REVIEW","Binary/archive artifact; decide Git LFS, Release, or hash-only publication"
"HISTORICAL_RUN","RUN-006","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-006__F1_Development_R3_LM_Arena_Blind_Hardened\08_PACKAGE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\F1_DEV_LMARENA_BLIND_R3_HARDENED_COMPLETE.zip","08_PACKAGE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\F1_DEV_LMARENA_BLIND_R3_HARDENED_COMPLETE.zip","126305888","120,455",".zip","LARGE_ARTIFACT_REVIEW",">=95 MB; do not place in normal Git history"
"HISTORICAL_RUN","RUN-006","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-006__F1_Development_R3_LM_Arena_Blind_Hardened\08_PACKAGE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\F1_DEV_LMARENA_BLIND_R3_HARDENED_RESULTS.zip","08_PACKAGE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\F1_DEV_LMARENA_BLIND_R3_HARDENED_RESULTS.zip","63138359","60,213",".zip","BINARY_ARTIFACT_REVIEW","Binary/archive artifact; decide Git LFS, Release, or hash-only publication"
"HISTORICAL_RUN","RUN-006","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-006__F1_Development_R3_LM_Arena_Blind_Hardened\09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\08_FROZEN_MODELS\FROZEN_PIPELINE.joblib","09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED\08_FROZEN_MODELS\FROZEN_PIPELINE.joblib","63793134","60,838",".joblib","BINARY_ARTIFACT_REVIEW","Binary/archive artifact; decide Git LFS, Release, or hash-only publication"
"HISTORICAL_RUN","RUN-007","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-007__F1_Development_R4_V12_Graph_Calibration\06_DIAGNOSTIC\SOURCE\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\03_CROSS_TOPOLOGY_GENERALIZATION\CROSS_TOPOLOGY_DATA.parquet","06_DIAGNOSTIC\SOURCE\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\03_CROSS_TOPOLOGY_GENERALIZATION\CROSS_TOPOLOGY_DATA.parquet","77099","0,074",".parquet","LOCAL_DATASET","Raw/external dataset; retain locally and reference by manifest/hash"
"HISTORICAL_RUN","RUN-007","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-007__F1_Development_R4_V12_Graph_Calibration\06_DIAGNOSTIC\SOURCE\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\06_FROZEN_MODELS\CROSS_TOPOLOGY_CLASSIFIER.joblib","06_DIAGNOSTIC\SOURCE\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\06_FROZEN_MODELS\CROSS_TOPOLOGY_CLASSIFIER.joblib","264696","0,252",".joblib","BINARY_ARTIFACT_REVIEW","Binary/archive artifact; decide Git LFS, Release, or hash-only publication"
"HISTORICAL_RUN","RUN-007","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-007__F1_Development_R4_V12_Graph_Calibration\08_PACKAGE\SOURCE\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\F1_DEV_R4_V12_GRAPH_CALIBRATION_COMPLETE.zip","08_PACKAGE\SOURCE\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\F1_DEV_R4_V12_GRAPH_CALIBRATION_COMPLETE.zip","382917","0,365",".zip","BINARY_ARTIFACT_REVIEW","Binary/archive artifact; decide Git LFS, Release, or hash-only publication"
"HISTORICAL_RUN","RUN-007","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-007__F1_Development_R4_V12_Graph_Calibration\08_PACKAGE\SOURCE\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\F1_DEV_R4_V12_GRAPH_CALIBRATION_RUNNER.zip","08_PACKAGE\SOURCE\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION\F1_DEV_R4_V12_GRAPH_CALIBRATION_RUNNER.zip","8113","0,008",".zip","BINARY_ARTIFACT_REVIEW","Binary/archive artifact; decide Git LFS, Release, or hash-only publication"
"HISTORICAL_RUN","RUN-008","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-008__F1_Development_R5_V12_Specificity_Operator\00_CONTROL\SOURCE\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\01_GRAPH_SPECIFICITY\MATCHED_NONISOMORPHIC_GRAPH_CONTROLS.parquet","00_CONTROL\SOURCE\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\01_GRAPH_SPECIFICITY\MATCHED_NONISOMORPHIC_GRAPH_CONTROLS.parquet","117911","0,112",".parquet","LOCAL_DATASET","Raw/external dataset; retain locally and reference by manifest/hash"
