RUN_ID,CANONICAL_ID,CANONICAL_NAME,FULL_PATH,FILE_NAME,EXTENSION,SIZE_BYTES,MATCHED_ALIASES,SOURCE_CLUSTER,ROLE_SIGNALS,DISCOVERY_CLASS
RUN-010,CAN-F2-BR0,F2 BR0 - Full Fingerprint Recovery,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\04_SPLITS\EARLY_POS_IDS.json,EARLY_POS_IDS.json,.json,1849,f2_br0_full_fingerprint_recovery|f2_br0,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,OTHER,COPY_OR_PROVENANCE
RUN-010,CAN-F2-BR0,F2 BR0 - Full Fingerprint Recovery,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\04_SPLITS\EARLY_POS_USABLE.csv,EARLY_POS_USABLE.csv,.csv,2093,f2_br0_full_fingerprint_recovery|f2_br0,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,OTHER,COPY_OR_PROVENANCE
RUN-010,CAN-F2-BR0,F2 BR0 - Full Fingerprint Recovery,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\04_SPLITS\HOLDOUT_MATCHED_PAIRS.csv,HOLDOUT_MATCHED_PAIRS.csv,.csv,3661,f2_br0_full_fingerprint_recovery|f2_br0,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,OTHER,COPY_OR_PROVENANCE
RUN-010,CAN-F2-BR0,F2 BR0 - Full Fingerprint Recovery,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\04_SPLITS\LATER_HOLD_NEG_IDS.json,LATER_HOLD_NEG_IDS.json,.json,7568,f2_br0_full_fingerprint_recovery|f2_br0,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,OTHER,COPY_OR_PROVENANCE
RUN-010,CAN-F2-BR0,F2 BR0 - Full Fingerprint Recovery,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\04_SPLITS\LATER_HOLD_POS_IDS.json,LATER_HOLD_POS_IDS.json,.json,6235,f2_br0_full_fingerprint_recovery|f2_br0,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,OTHER,COPY_OR_PROVENANCE
RUN-010,CAN-F2-BR0,F2 BR0 - Full Fingerprint Recovery,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\04_SPLITS\LATER_NEG_POOL_REGISTRY.csv,LATER_NEG_POOL_REGISTRY.csv,.csv,16296,f2_br0_full_fingerprint_recovery|f2_br0,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,OTHER,COPY_OR_PROVENANCE
RUN-010,CAN-F2-BR0,F2 BR0 - Full Fingerprint Recovery,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\04_SPLITS\LATER_POS_REGISTRY.csv,LATER_POS_REGISTRY.csv,.csv,22302,f2_br0_full_fingerprint_recovery|f2_br0,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,OTHER,COPY_OR_PROVENANCE
RUN-010,CAN-F2-BR0,F2 BR0 - Full Fingerprint Recovery,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\04_SPLITS\LATER_VAL_NEG_IDS.json,LATER_VAL_NEG_IDS.json,.json,688,f2_br0_full_fingerprint_recovery|f2_br0,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,OTHER,COPY_OR_PROVENANCE
RUN-010,CAN-F2-BR0,F2 BR0 - Full Fingerprint Recovery,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\04_SPLITS\LATER_VAL_POS_IDS.json,LATER_VAL_POS_IDS.json,.json,4687,f2_br0_full_fingerprint_recovery|f2_br0,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,OTHER,COPY_OR_PROVENANCE
RUN-010,CAN-F2-BR0,F2 BR0 - Full Fingerprint Recovery,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\04_SPLITS\VALIDATION_MATCHED_PAIRS.csv,VALIDATION_MATCHED_PAIRS.csv,.csv,454,f2_br0_full_fingerprint_recovery|f2_br0,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,OTHER,COPY_OR_PROVENANCE
RUN-010,CAN-F2-BR0,F2 BR0 - Full Fingerprint Recovery,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\05_FEATURES\build_f1_features.py,build_f1_features.py,.py,12174,f2_br0_full_fingerprint_recovery|f2_br0,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,RESULT,COPY_OR_PROVENANCE
