POPULATION,MEASURE,REFERENCE,THRESHOLD,N_EXTERNAL,MATCHES,FRACTION,CI_LOW,CI_HIGH,ONE_IN,LINEAGE_ACTUAL_COVERAGE
ALL_USABLE,STRICT_5_COMPONENT_CONJUNCTION,INDIVIDUAL_50PCT_TOLERANCE,,13777,0,0.0,0.0,0.0002677205224439641,inf,0.16058394160583941
ALL_USABLE,COMPOSITE_MEDIAN_Z,LINEAGE_75PCT_TOLERANCE,-1.3853095818873649,13777,0,0.0,0.0,0.0002677205224439641,inf,0.7518248175182481
ALL_USABLE,COMPOSITE_MIN_Z,LINEAGE_75PCT_TOLERANCE,-2.6284642428800065,13777,1,7.258474268708717e-05,1.837684889395817e-06,0.0004043492092108862,13777.0,0.7518248175182481
ALL_USABLE,STRICT_5_COMPONENT_CONJUNCTION,INDIVIDUAL_75PCT_TOLERANCE,,13777,0,0.0,0.0,0.0002677205224439641,inf,0.5182481751824818
ALL_USABLE,COMPOSITE_MEDIAN_Z,LINEAGE_90PCT_TOLERANCE,-2.58681595384683,13777,7,0.0005080931988096102,0.00020430344052588685,0.0010465841864202951,1968.142857142857,0.8978102189781022
ALL_USABLE,COMPOSITE_MIN_Z,LINEAGE_90PCT_TOLERANCE,-4.924213701431121,13777,219,0.01589605864847209,0.013873989830094515,0.01812615258375172,62.90867579908676,0.8978102189781022
ALL_USABLE,STRICT_5_COMPONENT_CONJUNCTION,INDIVIDUAL_90PCT_TOLERANCE,,13777,1,7.258474268708717e-05,1.837684889395817e-06,0.0004043492092108862,13777.0,0.8029197080291971
ALL_USABLE,COMPOSITE_MEDIAN_Z,LINEAGE_95PCT_TOLERANCE,-3.5275802619295638,13777,248,0.018001016186397618,0.015846865983918965,0.020362015807275053,55.55241935483871,0.948905109489051
ALL_USABLE,COMPOSITE_MIN_Z,LINEAGE_95PCT_TOLERANCE,-6.236400940840964,13777,1443,0.1047397836974668,0.09967405491464033,0.10997312775630574,9.547470547470548,0.948905109489051
ALL_USABLE,STRICT_5_COMPONENT_CONJUNCTION,INDIVIDUAL_95PCT_TOLERANCE,,13777,70,0.005080931988096102,0.003962913709832253,0.006415152265787563,196.81428571428572,0.9051094890510949
