MATCH,FILE_NAME,FULL_PATH,SIZE_BYTES
(?i)CORRECTED,V3_HISTORICAL_GATE.json,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\KEXT_V3_CORRECTED_EXTERNAL_REPLICATION\V3_HISTORICAL_GATE.json,780
(?i)FINAL_SUMMARY,15_FINAL_SUMMARY.json,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\V5_FOREST_FORENSIC_FULL\15_FINAL_SUMMARY.json,20018
(?i)FINAL_SUMMARY,16_FINAL_SUMMARY.json,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\V6_STRUCTURAL_FINGERPRINT_VECTOR\16_FINAL_SUMMARY.json,20810
(?i)FINAL_SUMMARY,16_FINAL_SUMMARY.json,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION\16_FINAL_SUMMARY.json,12447
(?i)FINAL_SUMMARY,16_FINAL_SUMMARY.json,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE\16_FINAL_SUMMARY.json,6348
(?i)FINAL_SUMMARY,16_FINAL_SUMMARY.json,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\16_FINAL_SUMMARY.json,5091
(?i)FINAL_SUMMARY,16_FINAL_SUMMARY.json,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN\16_FINAL_SUMMARY.json,20734
(?i)FINAL_SUMMARY,16_FINAL_SUMMARY.json,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\16_FINAL_SUMMARY.json,20810
(?i)BR2,F1_BR2_LMARENA_MATCHED_CONTROL_COMPLETE_V2.zip,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\F1_BR2_LMARENA_MATCHED_CONTROL_COMPLETE_V2.zip,312923719
(?i)BR2,F1_BR2_LMARENA_MATCHED_CONTROL_RUNNER.zip,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\F1_BR2_LMARENA_MATCHED_CONTROL_RUNNER.zip,8675
(?i)BR2,F1_BR2_V2_COMPLETE.marker,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\F1_BR2_V2_COMPLETE.marker,61
(?i)BR2,F1_BR2_V2_EXACT_EXTRACTOR_RUNNER.zip,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\F1_BR2_V2_EXACT_EXTRACTOR_RUNNER.zip,11238
(?i)BR2,INPUT_SHA256_MANIFEST.csv,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\INPUT_SHA256_MANIFEST.csv,1157
(?i)BR2,PORTABLE_FROZEN_BR1_MODELS.json,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\PORTABLE_FROZEN_BR1_MODELS.json,5407
(?i)BR2,RUN_F1_BR2_LMARENA_MATCHED_CONTROL.ps1,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\RUN_F1_BR2_LMARENA_MATCHED_CONTROL.ps1,1944
(?i)BR2,RUN_F1_BR2_LMARENA_MATCHED_CONTROL.py,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\RUN_F1_BR2_LMARENA_MATCHED_CONTROL.py,23013
(?i)BR2,RUN_F1_BR2_V2_EXACT_EXTRACTOR.ps1,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\RUN_F1_BR2_V2_EXACT_EXTRACTOR.ps1,1635
(?i)BR2,RUN_F1_BR2_V2_EXACT_EXTRACTOR.py,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\RUN_F1_BR2_V2_EXACT_EXTRACTOR.py,23860
(?i)BR2|(?i)DETERMINISTIC.*REFREEZE,F2_BR2_COMPLETE.marker.json,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_REFREEZE\F2_BR2_COMPLETE.marker.json,237
(?i)BR2|(?i)DETERMINISTIC.*REFREEZE,FINAL_SHA256_MANIFEST.csv,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_REFREEZE\FINAL_SHA256_MANIFEST.csv,7161
(?i)BR2|(?i)DETERMINISTIC.*REFREEZE,00_FROZEN_SPEC.json,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_REFREEZE_RUNNER\00_FROZEN_SPEC.json,8369
(?i)BR2|(?i)DETERMINISTIC.*REFREEZE,PACKAGE_SHA256_MANIFEST.csv,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_REFREEZE_RUNNER\PACKAGE_SHA256_MANIFEST.csv,4443
(?i)BR2|(?i)DETERMINISTIC.*REFREEZE,README.txt,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_REFREEZE_RUNNER\README.txt,758
(?i)BR2|(?i)DETERMINISTIC.*REFREEZE,RUN_F2_BR2.ps1,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_REFREEZE_RUNNER\RUN_F2_BR2.ps1,2188
(?i)BR2|(?i)DETERMINISTIC.*REFREEZE,RUN_F2_BR2.py,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_REFREEZE_RUNNER\RUN_F2_BR2.py,34518
(?i)BR2,00_FROZEN_SPEC.json,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\00_FROZEN_SPEC.json,8369
(?i)BR2,PACKAGE_SHA256_MANIFEST.csv,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\PACKAGE_SHA256_MANIFEST.csv,7681
(?i)BR2,README.txt,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\README.txt,1043
(?i)BR2,RUN_F2_BR2.ps1,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\RUN_F2_BR2.ps1,1092
(?i)BR2,RUN_F2_BR2.py,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\RUN_F2_BR2.py,25900
(?i)CORRECTED,F2_B_CORRECTED_RARITY_RUNNER.zip,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\F2_B_CORRECTED_RARITY_RUNNER.zip,1400214
(?i)CORRECTED,F2_B_FROZEN_SPEC.json,C:\RSOS\Training data\F2_B_CORRECTED_RARITY_RUNNER\F2_B_FROZEN_SPEC.json,1572
(?i)CORRECTED,README.txt,C:\RSOS\Training data\F2_B_CORRECTED_RARITY_RUNNER\README.txt,743
(?i)CORRECTED,RUN_F2_B.ps1,C:\RSOS\Training data\F2_B_CORRECTED_RARITY_RUNNER\RUN_F2_B.ps1,733
(?i)CORRECTED,RUN_F2_B.py,C:\RSOS\Training data\F2_B_CORRECTED_RARITY_RUNNER\RUN_F2_B.py,35737
(?i)BR2,F1_BR2_LMARENA_MATCHED_CONTROL_COMPLETE_V2.zip,C:\RSOS\Training data\F2_MASTER_HANDOFF_PACKAGE\F1_BR2_LMARENA_MATCHED_CONTROL_COMPLETE_V2.zip,312923719
(?i)BR2|(?i)DETERMINISTIC.*REFREEZE,F2_BR2_DETERMINISTIC_CORPUS_FINGERPRINT_REFREEZE_COMPLETE.zip,C:\RSOS\Training data\F2_MASTER_HANDOFF_PACKAGE\F2_BR2_DETERMINISTIC_CORPUS_FINGERPRINT_REFREEZE_COMPLETE.zip,807452
(?i)CORRECTED,F2_B_CORRECTED_EXTERNAL_RARITY_RESULTS.zip,C:\RSOS\Training data\F2_MASTER_HANDOFF_PACKAGE\F2_B_CORRECTED_EXTERNAL_RARITY_RESULTS.zip,84942
(?i)FINAL_COMPLETE|(?i)COMPLETE_LOCAL,F1_FINAL_COMPLETE_LOCAL.zip,C:\RSOS\Training data\F2_MASTER_HANDOFF_PACKAGE\F1_FINAL_COMPLETE_LOCAL_SPLIT_3\F1_FINAL_COMPLETE_LOCAL.zip,518003991
(?i)FINAL_COMPLETE|(?i)COMPLETE_LOCAL,F1_FINAL_COMPLETE_LOCAL.zip.part001,C:\RSOS\Training data\F2_MASTER_HANDOFF_PACKAGE\F1_FINAL_COMPLETE_LOCAL_SPLIT_3\F1_FINAL_COMPLETE_LOCAL.zip.part001,172667997
(?i)FINAL_COMPLETE|(?i)COMPLETE_LOCAL,F1_FINAL_COMPLETE_LOCAL.zip.part002,C:\RSOS\Training data\F2_MASTER_HANDOFF_PACKAGE\F1_FINAL_COMPLETE_LOCAL_SPLIT_3\F1_FINAL_COMPLETE_LOCAL.zip.part002,172667997
(?i)FINAL_COMPLETE|(?i)COMPLETE_LOCAL,F1_FINAL_COMPLETE_LOCAL.zip.part003,C:\RSOS\Training data\F2_MASTER_HANDOFF_PACKAGE\F1_FINAL_COMPLETE_LOCAL_SPLIT_3\F1_FINAL_COMPLETE_LOCAL.zip.part003,172667997
(?i)CORRECTED,PARITY_EXPECTED_V2.csv,C:\RSOS\Training data\F2_B_CORRECTED_RARITY_RUNNER\fixtures\PARITY_EXPECTED_V2.csv,8909
(?i)CORRECTED,PARITY_FIXTURES.jsonl,C:\RSOS\Training data\F2_B_CORRECTED_RARITY_RUNNER\fixtures\PARITY_FIXTURES.jsonl,2175259
(?i)CORRECTED,WINDOW12_PARITY_EXPECTED.csv,C:\RSOS\Training data\F2_B_CORRECTED_RARITY_RUNNER\fixtures\WINDOW12_PARITY_EXPECTED.csv,1801
(?i)CORRECTED,WINDOW8_PARITY_EXPECTED.csv,C:\RSOS\Training data\F2_B_CORRECTED_RARITY_RUNNER\fixtures\WINDOW8_PARITY_EXPECTED.csv,1722
(?i)CORRECTED,WINDOW_PARITY_FIXTURE.json,C:\RSOS\Training data\F2_B_CORRECTED_RARITY_RUNNER\fixtures\WINDOW_PARITY_FIXTURE.json,94422
(?i)CORRECTED,JOINT_MULTILAYER_V2.joblib,C:\RSOS\Training data\F2_B_CORRECTED_RARITY_RUNNER\frozen_models\JOINT_MULTILAYER_V2.joblib,5117
(?i)CORRECTED,OPERATOR_RELATIONAL_V2.joblib,C:\RSOS\Training data\F2_B_CORRECTED_RARITY_RUNNER\frozen_models\OPERATOR_RELATIONAL_V2.joblib,3725
(?i)CORRECTED,R1_COMPATIBLE.joblib,C:\RSOS\Training data\F2_B_CORRECTED_RARITY_RUNNER\frozen_models\R1_COMPATIBLE.joblib,2333
(?i)CORRECTED,SURFACE_FREE.joblib,C:\RSOS\Training data\F2_B_CORRECTED_RARITY_RUNNER\frozen_models\SURFACE_FREE.joblib,2989
(?i)CORRECTED,WINDOW12_DETERMINISTIC_V2.joblib,C:\RSOS\Training data\F2_B_CORRECTED_RARITY_RUNNER\frozen_models\WINDOW12_DETERMINISTIC_V2.joblib,4093
(?i)CORRECTED,WINDOW8_DETERMINISTIC_V2.joblib,C:\RSOS\Training data\F2_B_CORRECTED_RARITY_RUNNER\frozen_models\WINDOW8_DETERMINISTIC_V2.joblib,4077
(?i)CORRECTED,BR1_LATER_HOLD_POS_FEATURES.csv,C:\RSOS\Training data\F2_B_CORRECTED_RARITY_RUNNER\reference\BR1_LATER_HOLD_POS_FEATURES.csv,188434
(?i)CORRECTED,EARLY_NEG_V2_FEATURES.csv,C:\RSOS\Training data\F2_B_CORRECTED_RARITY_RUNNER\reference\EARLY_NEG_V2_FEATURES.csv,93038
(?i)CORRECTED,EARLY_POS_V2_FEATURES.csv,C:\RSOS\Training data\F2_B_CORRECTED_RARITY_RUNNER\reference\EARLY_POS_V2_FEATURES.csv,54865
(?i)BR2|(?i)CORRECTED,F2_BR2_FROZEN_SPEC.json,C:\RSOS\Training data\F2_B_CORRECTED_RARITY_RUNNER\reference\F2_BR2_FROZEN_SPEC.json,8369
(?i)CORRECTED,FROZEN_FEATURE_SETS.json,C:\RSOS\Training data\F2_B_CORRECTED_RARITY_RUNNER\reference\FROZEN_FEATURE_SETS.json,3952
(?i)CORRECTED,LATER_HOLD_NEG_V2_FEATURES.csv,C:\RSOS\Training data\F2_B_CORRECTED_RARITY_RUNNER\reference\LATER_HOLD_NEG_V2_FEATURES.csv,198584
(?i)CORRECTED,LATER_HOLD_POS_V2_FEATURES.csv,C:\RSOS\Training data\F2_B_CORRECTED_RARITY_RUNNER\reference\LATER_HOLD_POS_V2_FEATURES.csv,185024
(?i)CORRECTED,WINDOW12_DETERMINISTIC_FEATURES.csv,C:\RSOS\Training data\F2_B_CORRECTED_RARITY_RUNNER\reference\WINDOW12_DETERMINISTIC_FEATURES.csv,352220
(?i)CORRECTED,WINDOW8_DETERMINISTIC_FEATURES.csv,C:\RSOS\Training data\F2_B_CORRECTED_RARITY_RUNNER\reference\WINDOW8_DETERMINISTIC_FEATURES.csv,389941
(?i)CORRECTED,RUN_F2_B.cpython-313.pyc,C:\RSOS\Training data\F2_B_CORRECTED_RARITY_RUNNER\__pycache__\RUN_F2_B.cpython-313.pyc,81929
(?i)CORRECTED,PRE_EXTERNAL_THRESHOLDS.json,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\00_PREFLIGHT\PRE_EXTERNAL_THRESHOLDS.json,2168
(?i)CORRECTED,SELECTION_AND_METHOD_FREEZE.json,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\00_PREFLIGHT\SELECTION_AND_METHOD_FREEZE.json,1770
(?i)CORRECTED,train-00007-of-00086_SCHEMA.json,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\00_PREFLIGHT\train-00007-of-00086_SCHEMA.json,7708
(?i)CORRECTED,train-00022-of-00086_SCHEMA.json,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\00_PREFLIGHT\train-00022-of-00086_SCHEMA.json,7708
(?i)CORRECTED,train-00041-of-00086_SCHEMA.json,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\00_PREFLIGHT\train-00041-of-00086_SCHEMA.json,7708
(?i)CORRECTED,train-00051-of-00086_SCHEMA.json,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\00_PREFLIGHT\train-00051-of-00086_SCHEMA.json,7708
(?i)CORRECTED,train-00052-of-00086_SCHEMA.json,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\00_PREFLIGHT\train-00052-of-00086_SCHEMA.json,7708
(?i)CORRECTED,train-00054-of-00086_SCHEMA.json,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\00_PREFLIGHT\train-00054-of-00086_SCHEMA.json,7708
(?i)CORRECTED,WINDOW_MARGIN_THRESHOLDS.json,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\00_PREFLIGHT\WINDOW_MARGIN_THRESHOLDS.json,279
(?i)CORRECTED,EXTRACTION_COUNTS.json,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\01_EXTERNAL_FEATURES\EXTRACTION_COUNTS.json,235
(?i)CORRECTED,F2_B_EXTERNAL_FEATURES_AND_SCORES.parquet,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\01_EXTERNAL_FEATURES\F2_B_EXTERNAL_FEATURES_AND_SCORES.parquet,15325419
(?i)CORRECTED,SEPARATION_RESULTS.csv,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\02_PRIMARY\SEPARATION_RESULTS.csv,2420
(?i)CORRECTED,RARITY_AND_TOLERANCE_RESULTS.csv,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\03_GEOMETRY\RARITY_AND_TOLERANCE_RESULTS.csv,9570
(?i)CORRECTED,WINDOW_EXTERNAL_RARITY.csv,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\04_WINDOWS\WINDOW_EXTERNAL_RARITY.csv,3074
(?i)CORRECTED,CEM_BALANCE.csv,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\05_NUISANCE\CEM_BALANCE.csv,128
(?i)CORRECTED,CEM_RESULT.csv,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\05_NUISANCE\CEM_RESULT.csv,223
(?i)CORRECTED,CLUSTER_DIAGNOSTIC.json,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\05_NUISANCE\CLUSTER_DIAGNOSTIC.json,87
(?i)CORRECTED,LANGUAGE_DISTRIBUTION.csv,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\05_NUISANCE\LANGUAGE_DISTRIBUTION.csv,672
(?i)CORRECTED,MODEL_DISTRIBUTION.csv,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\05_NUISANCE\MODEL_DISTRIBUTION.csv,189
(?i)CORRECTED,MODEL_LANGUAGE_STRATA_90TOL.csv,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\05_NUISANCE\MODEL_LANGUAGE_STRATA_90TOL.csv,1729
(?i)CORRECTED,NEAREST250_MAHALANOBIS.csv,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\06_NEAREST\NEAREST250_MAHALANOBIS.csv,68818
(?i)CORRECTED,NEAREST250_STRICT_COMPOSITE.csv,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\06_NEAREST\NEAREST250_STRICT_COMPOSITE.csv,69140
(?i)CORRECTED,F2_B_SUMMARY.json,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\07_AUDIT\F2_B_SUMMARY.json,2080
(?i)CORRECTED,STATUS_LEDGER.csv,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\07_AUDIT\STATUS_LEDGER.csv,1271
(?i)BR2,BR1_COMPLETE_CURRENT_OUTPUT_SHA256.csv,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_inputs\BR1_COMPLETE_CURRENT_OUTPUT_SHA256.csv,61539
(?i)BR2,FROZEN_FEATURE_SETS.json,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_inputs\FROZEN_FEATURE_SETS.json,3952
(?i)BR2,EARLY_NEG_DROPOUT_SEGMENTS.jsonl,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_segments\EARLY_NEG_DROPOUT_SEGMENTS.jsonl,7825504
(?i)BR2,EARLY_NEG_SEGMENTS.jsonl,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_segments\EARLY_NEG_SEGMENTS.jsonl,8270005
(?i)BR2,EARLY_POS_DROPOUT_SEGMENTS.jsonl,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_segments\EARLY_POS_DROPOUT_SEGMENTS.jsonl,853328
(?i)BR2,EARLY_POS_SEGMENTS.jsonl,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_segments\EARLY_POS_SEGMENTS.jsonl,12343005
(?i)BR2,LATER_HOLD_NEG_DROPOUT_SEGMENTS.jsonl,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_segments\LATER_HOLD_NEG_DROPOUT_SEGMENTS.jsonl,4409370
(?i)BR2,LATER_HOLD_NEG_SEGMENTS.jsonl,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_segments\LATER_HOLD_NEG_SEGMENTS.jsonl,5792158
(?i)BR2,LATER_HOLD_POS_DROPOUT_SEGMENTS.jsonl,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_segments\LATER_HOLD_POS_DROPOUT_SEGMENTS.jsonl,15374667
(?i)BR2,LATER_HOLD_POS_SEGMENTS.jsonl,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_segments\LATER_HOLD_POS_SEGMENTS.jsonl,47011250
(?i)BR2,LATER_VAL_NEG_DROPOUT_SEGMENTS.jsonl,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_segments\LATER_VAL_NEG_DROPOUT_SEGMENTS.jsonl,204427
(?i)BR2,LATER_VAL_NEG_SEGMENTS.jsonl,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_segments\LATER_VAL_NEG_SEGMENTS.jsonl,224901
(?i)BR2,LATER_VAL_POS_DROPOUT_SEGMENTS.jsonl,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_segments\LATER_VAL_POS_DROPOUT_SEGMENTS.jsonl,3879767
(?i)BR2,LATER_VAL_POS_SEGMENTS.jsonl,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_segments\LATER_VAL_POS_SEGMENTS.jsonl,41158667
(?i)BR2,RUN_F2_BR2.cpython-313.pyc,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\__pycache__\RUN_F2_BR2.cpython-313.pyc,61766
(?i)BR2,EARLY_NEG_DROPOUT_FEATURES.csv,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_inputs\legacy_dropout_features\EARLY_NEG_DROPOUT_FEATURES.csv,94982
(?i)BR2,EARLY_POS_DROPOUT_FEATURES.csv,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_inputs\legacy_dropout_features\EARLY_POS_DROPOUT_FEATURES.csv,32880
(?i)BR2,LATER_HOLD_NEG_DROPOUT_FEATURES.csv,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_inputs\legacy_dropout_features\LATER_HOLD_NEG_DROPOUT_FEATURES.csv,184421
(?i)BR2,LATER_HOLD_POS_DROPOUT_FEATURES.csv,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_inputs\legacy_dropout_features\LATER_HOLD_POS_DROPOUT_FEATURES.csv,162720
(?i)BR2,LATER_VAL_NEG_DROPOUT_FEATURES.csv,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_inputs\legacy_dropout_features\LATER_VAL_NEG_DROPOUT_FEATURES.csv,17947
(?i)BR2,LATER_VAL_POS_DROPOUT_FEATURES.csv,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_inputs\legacy_dropout_features\LATER_VAL_POS_DROPOUT_FEATURES.csv,95906
(?i)BR2,EARLY_NEG_FEATURES.csv,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_inputs\legacy_features\EARLY_NEG_FEATURES.csv,95072
(?i)BR2,EARLY_POS_FEATURES.csv,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_inputs\legacy_features\EARLY_POS_FEATURES.csv,55762
(?i)BR2,LATER_HOLD_NEG_FEATURES.csv,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_inputs\legacy_features\LATER_HOLD_NEG_FEATURES.csv,201593
(?i)BR2,LATER_HOLD_POS_FEATURES.csv,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_inputs\legacy_features\LATER_HOLD_POS_FEATURES.csv,188434
(?i)BR2,LATER_VAL_NEG_FEATURES.csv,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_inputs\legacy_features\LATER_VAL_NEG_FEATURES.csv,19206
(?i)BR2,LATER_VAL_POS_FEATURES.csv,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_inputs\legacy_features\LATER_VAL_POS_FEATURES.csv,144996
(?i)BR2,DOMAIN_TOPIC_ASSIGNMENTS_K12.csv,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_inputs\legacy_results\DOMAIN_TOPIC_ASSIGNMENTS_K12.csv,18727
(?i)BR2,DOMAIN_TOPIC_ASSIGNMENTS_K5.csv,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_inputs\legacy_results\DOMAIN_TOPIC_ASSIGNMENTS_K5.csv,18709
(?i)BR2,DOMAIN_TOPIC_ASSIGNMENTS_K8.csv,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_inputs\legacy_results\DOMAIN_TOPIC_ASSIGNMENTS_K8.csv,18709
