PARTITION,FAMILY,EDGE,CONDITION,N,EXCESS_DISTANCE,P,SWITCH_LINKED,HOLM_P,PASS
DEVELOPMENT,REVERSE,0,E0_REVERSE,34,8.312673491727129,4.999750012499375e-05,False,0.0004999750012499375,True
DEVELOPMENT,REVERSE,1,E1_REVERSE,34,9.740649869045308,4.999750012499375e-05,False,0.0004999750012499375,True
DEVELOPMENT,REVERSE,2,E2_REVERSE,34,16.10112302157479,4.999750012499375e-05,False,0.0004999750012499375,True
DEVELOPMENT,REVERSE,3,E3_REVERSE,34,19.41229675890175,4.999750012499375e-05,False,0.0004999750012499375,True
DEVELOPMENT,REVERSE,4,E4_REVERSE,34,20.783502923803795,4.999750012499375e-05,False,0.0004999750012499375,True
DEVELOPMENT,REVERSE,5,E5_REVERSE,34,8.76747350454705,4.999750012499375e-05,False,0.0004999750012499375,True
DEVELOPMENT,REVERSE,6,E6_REVERSE,34,10.725826679403285,4.999750012499375e-05,False,0.0004999750012499375,True
DEVELOPMENT,REVERSE,7,E7_REVERSE,34,25.394109750426505,4.999750012499375e-05,True,0.0004999750012499375,True
DEVELOPMENT,REVERSE,8,E8_REVERSE,34,1.4090145577009447,0.003399830008499575,False,0.003399830008499575,True
DEVELOPMENT,REVERSE,9,E9_REVERSE,34,26.264718893460667,4.999750012499375e-05,True,0.0004999750012499375,True
CONFIRMATION,DELETE,0,E0_DELETE,15,5.927120983591331,0.00014999250037498125,False,0.0007499625018749063,True
CONFIRMATION,DELETE,1,E1_DELETE,15,10.000080559035249,4.999750012499375e-05,False,0.0004999750012499375,True
CONFIRMATION,DELETE,2,E2_DELETE,15,17.886206111684903,4.999750012499375e-05,False,0.0004999750012499375,True
CONFIRMATION,DELETE,3,E3_DELETE,15,18.081307518800696,0.00014999250037498125,False,0.0007499625018749063,True
CONFIRMATION,DELETE,4,E4_DELETE,15,18.238765835296643,0.00014999250037498125,False,0.0007499625018749063,True
CONFIRMATION,DELETE,5,E5_DELETE,15,8.144636914073486,4.999750012499375e-05,False,0.0004999750012499375,True
CONFIRMATION,DELETE,6,E6_DELETE,15,7.176587948374912,9.99950002499875e-05,False,0.0006999650017499125,True
CONFIRMATION,DELETE,7,E7_DELETE,15,34.25667958087891,9.99950002499875e-05,True,0.0006999650017499125,True
CONFIRMATION,DELETE,8,E8_DELETE,15,4.587959566289245,0.000199990000499975,False,0.0007499625018749063,True
CONFIRMATION,DELETE,9,E9_DELETE,15,10.226173823348052,0.00014999250037498125,False,0.0007499625018749063,True
CONFIRMATION,REVERSE,0,E0_REVERSE,15,7.677990305356919,0.000199990000499975,False,0.0008999550022498875,True
CONFIRMATION,REVERSE,1,E1_REVERSE,15,8.53695234600925,9.99950002499875e-05,False,0.0008999550022498875,True
CONFIRMATION,REVERSE,2,E2_REVERSE,15,16.23300597164223,9.99950002499875e-05,False,0.0008999550022498875,True
CONFIRMATION,REVERSE,3,E3_REVERSE,15,18.898354062411645,4.999750012499375e-05,False,0.0004999750012499375,True
