metric,complete_pairs,auc,auc_ci_low,auc_ci_high,mean_paired_delta,median_paired_delta,p_greater,p_less,provider,condition
SURFACE_FREE_MARGIN,40,0.335625,0.225,0.460625,-0.6214277317364422,-1.0385899228943927,0.9972115002028659,0.0029158246170482016,OPENAI,SURFACE_CASE_PUNCT_NORMALIZED
R1_COMPATIBLE_MARGIN,40,0.43125,0.310578125,0.5606718749999998,-1.4676563962116085,-0.2598131459095292,0.9440749850282373,0.05748320258771855,OPENAI,SURFACE_CASE_PUNCT_NORMALIZED
WINDOW8_MARGIN,40,0.57125,0.4375,0.6993906249999999,,,,,OPENAI,SURFACE_CASE_PUNCT_NORMALIZED
WINDOW12_MARGIN,40,0.55375,0.42748437499999997,0.67875,,,,,OPENAI,SURFACE_CASE_PUNCT_NORMALIZED
JOINT_MULTILAYER_V2_MARGIN,40,0.52,0.38559375,0.655015625,-0.07826350651506458,0.07214970791721992,0.5764221877780074,0.42879116808217077,ANTHROPIC,BASELINE
OPERATOR_RELATIONAL_V2_MARGIN,40,0.466875,0.338109375,0.59875,-1.1571841748606873,-0.3642946214787044,0.8556710751072387,0.14740848033306975,ANTHROPIC,BASELINE
SURFACE_FREE_MARGIN,40,0.573125,0.440625,0.701875,0.2625991245368195,0.14392273542343037,0.10320648256856657,0.8992033025524506,ANTHROPIC,BASELINE
R1_COMPATIBLE_MARGIN,40,0.44,0.309359375,0.5675312499999998,-0.2612351505766678,-0.30418473216896447,0.7141481106218635,0.29040338305367186,ANTHROPIC,BASELINE
WINDOW8_MARGIN,40,0.541875,0.416859375,0.670625,-0.2425900932988833,0.7716989555813538,0.36227724709442555,0.6427012775066032,ANTHROPIC,BASELINE
WINDOW12_MARGIN,40,0.5,0.36621875000000004,0.639390625,-0.12567881017270333,-0.05411058148636104,0.5502424347769193,0.45502298043902556,ANTHROPIC,BASELINE
JOINT_MULTILAYER_V2_MARGIN,40,0.513125,0.381859375,0.6425,0.04228771923570457,0.06080157220546323,0.42357781222199264,0.581622494635667,OPENAI,DOMAIN_EDUCATIONAL
OPERATOR_RELATIONAL_V2_MARGIN,40,0.50375,0.37,0.6400312499999998,-0.1335328877797794,1.2835826248683029,0.37230217908927443,0.6327213449685587,OPENAI,DOMAIN_EDUCATIONAL
SURFACE_FREE_MARGIN,40,0.405,0.27931249999999996,0.5331406249999999,-0.6501800388873877,-0.6052576982859104,0.8841313372395234,0.11852515531882091,OPENAI,DOMAIN_EDUCATIONAL
R1_COMPATIBLE_MARGIN,40,0.460625,0.33373437499999997,0.58875,-0.9118665588648331,-0.09516011799547597,0.8525915196669303,0.15053075633932167,OPENAI,DOMAIN_EDUCATIONAL
WINDOW8_MARGIN,40,0.573125,0.446828125,0.699375,0.9805491923705787,1.6349676026418367,0.054399574884882895,0.9470935173285397,OPENAI,DOMAIN_EDUCATIONAL
WINDOW12_MARGIN,40,0.5525,0.4225,0.682515625,0.1457560403879687,0.32718608500467694,0.12674583954776608,0.8760364041090725,OPENAI,DOMAIN_EDUCATIONAL
JOINT_MULTILAYER_V2_MARGIN,40,0.62625,0.5012187499999999,0.750015625,0.36890648428681255,0.21241624881322058,0.024880283909624268,0.9759177575260765,GOOGLE,BASELINE
OPERATOR_RELATIONAL_V2_MARGIN,40,0.583125,0.456875,0.7150468749999997,0.9999527790299142,0.9707980571001256,0.15369577258115896,0.8494692436606783,GOOGLE,BASELINE
SURFACE_FREE_MARGIN,40,0.5875,0.454375,0.713765625,0.8841748928340953,0.8196685721335979,0.0459120308241836,0.9553955360870532,GOOGLE,BASELINE
R1_COMPATIBLE_MARGIN,40,0.596875,0.468734375,0.725625,0.08639920310199174,0.5734686762548429,0.04861724743295781,0.9527505132091392,GOOGLE,BASELINE
WINDOW8_MARGIN,40,0.594375,0.468125,0.714375,2.460117434406448,1.7989060808526565,0.04332636853905569,0.9579226741889215,GOOGLE,BASELINE
WINDOW12_MARGIN,40,0.595625,0.47625,0.719390625,0.42726494160996775,0.34872827955288827,0.04207732581107848,0.9591430843847775,GOOGLE,BASELINE
JOINT_MULTILAYER_V2_MARGIN,40,0.6175,0.489375,0.730015625,0.3092067526709844,0.22882611311019946,0.026541326487858896,0.9743001573606307,OPENAI,DOMAIN_ORGANIZATIONAL
OPERATOR_RELATIONAL_V2_MARGIN,40,0.54375,0.411875,0.6731406249999999,0.6039046053859968,0.25366295412730455,0.23810390148810257,0.7660140702719218,OPENAI,DOMAIN_ORGANIZATIONAL
SURFACE_FREE_MARGIN,40,0.485,0.35746875,0.60875,0.002520860215637466,-0.3079770993729875,0.5449770195609744,0.46029613415157655,OPENAI,DOMAIN_ORGANIZATIONAL
R1_COMPATIBLE_MARGIN,40,0.43375,0.304953125,0.571875,-0.8727899957915328,-0.21794042860247576,0.8264173542529534,0.17704614166450483,OPENAI,DOMAIN_ORGANIZATIONAL
WINDOW8_MARGIN,40,0.6075,0.466234375,0.738125,1.42281877021128,1.261964990154735,0.032073760450657574,0.9689079535819474,OPENAI,DOMAIN_ORGANIZATIONAL
WINDOW12_MARGIN,40,0.629375,0.504984375,0.745640625,0.35043702246210134,0.4040814224853464,0.013918133063270943,0.9865736397168803,OPENAI,DOMAIN_ORGANIZATIONAL
JOINT_MULTILAYER_V2_MARGIN,40,0.533125,0.4,0.6531406249999999,0.06442716882549807,0.1892215712671031,0.2506873700367578,0.7535449899278319,OPENAI,DOMAIN_TECHNICAL
OPERATOR_RELATIONAL_V2_MARGIN,40,0.444375,0.317484375,0.57125,-1.074543186016719,-0.5219621039611972,0.8587079439075751,0.14432892489276128,OPENAI,DOMAIN_TECHNICAL
SURFACE_FREE_MARGIN,40,0.4975,0.367484375,0.61875,-0.019278709068579935,-0.45362967170931395,0.46029613415157655,0.5449770195609744,OPENAI,DOMAIN_TECHNICAL
R1_COMPATIBLE_MARGIN,40,0.4,0.26875,0.5275312499999998,-1.6101866103725708,-0.23624355868263414,0.894343134968949,0.10814806771304575,OPENAI,DOMAIN_TECHNICAL
WINDOW8_MARGIN,40,0.445,0.31746875,0.570625,-0.5684901888166768,-2.310334599760652,0.6427012775066032,0.36227724709442555,OPENAI,DOMAIN_TECHNICAL
WINDOW12_MARGIN,40,0.47625,0.351875,0.603125,0.0381000993575874,-0.13827944335238707,0.46029613415157655,0.5449770195609744,OPENAI,DOMAIN_TECHNICAL
