combo_index,condition,heldout_from_fitting,DIRECTION,ORDER,META_CONTROL,PRESERVATION,TERMINAL,mean_OUTPUT_TOKENS,mean_WORD_COUNT,mean_SENTENCE_COUNT,mean_TYPE_TOKEN_RATIO,mean_RETURN,mean_RECURRENCE,mean_GENERATIVE_REUSE,mean_META_CONTROL,mean_PRESERVATION,mean_COMPRESSION,mean_TRANSFORMATION,mean_CAUSAL,mean_TRAJECTORY,mean_CONTROL,mean_RELATIONAL,mean_TOTAL
10,D-_O+_M-_P+_T-,False,-1,1,-1,1,-1,156.0611111111111,137.95,7.23888888888889,0.6617747339575006,0.06111111111111111,0.005555555555555555,0.016666666666666666,1.1666666666666667,3.7055555555555557,4.044444444444443,2.888888888888889,0.8833333333333332,2.9722222222222223,2.05,7.75,12.772222222222222
11,D-_O+_M-_P+_T+,False,-1,1,-1,1,1,183.83333333333334,163.90000000000003,8.227777777777778,0.643038465286099,0.01111111111111111,0.005555555555555555,0.12222222222222222,1.7055555555555555,4.6388888888888875,4.138888888888889,2.927777777777778,1.5111111111111113,3.0666666666666673,3.216666666666667,8.777777777777777,15.061111111111112
12,D-_O+_M+_P-_T-,True,-1,1,1,-1,-1,168.25555555555553,148.93888888888887,7.849999999999999,0.652931670162458,0.06111111111111111,0.0,0.02222222222222222,2.9166666666666665,2.0500000000000003,3.7277777777777774,2.911111111111111,0.9444444444444444,2.9944444444444445,3.861111111111112,5.777777777777778,12.633333333333333
13,D-_O+_M+_P-_T+,False,-1,1,1,-1,1,187.02222222222224,165.9777777777778,8.05,0.6511297585072023,0.02222222222222222,0.01111111111111111,0.13888888888888887,3.5833333333333335,2.711111111111111,4.1000000000000005,2.7666666666666666,1.4222222222222223,2.938888888888889,5.0055555555555555,6.811111111111111,14.755555555555555
14,D-_O+_M+_P+_T-,False,-1,1,1,1,-1,165.21666666666667,146.18333333333337,7.694444444444444,0.6496846981042252,0.06666666666666667,0.005555555555555555,0.05555555555555555,2.355555555555555,3.9055555555555554,3.8833333333333337,3.505555555555555,0.8777777777777777,3.6333333333333333,3.233333333333333,7.78888888888889,14.655555555555557
15,D-_O+_M+_P+_T+,False,-1,1,1,1,1,192.0333333333333,170.4611111111111,8.644444444444444,0.6448359567569235,0.02222222222222222,0.005555555555555555,0.17777777777777776,2.894444444444445,4.555555555555556,3.9777777777777783,3.3888888888888884,1.422222222222222,3.594444444444444,4.3166666666666655,8.533333333333333,16.444444444444446
16,D+_O-_M-_P-_T-,False,1,-1,-1,-1,-1,89.17222222222222,76.54444444444444,3.9888888888888885,0.7972798103897982,0.01111111111111111,0.0,0.016666666666666666,1.8444444444444446,0.6722222222222222,1.1555555555555552,1.7611111111111113,1.1222222222222222,1.7888888888888888,2.966666666666667,1.827777777777778,6.583333333333333
17,D+_O-_M-_P-_T+,False,1,-1,-1,-1,1,117.12777777777778,102.13333333333335,5.2,0.7551053382056806,0.005555555555555555,0.0,0.15,2.1,1.9555555555555555,2.4166666666666665,2.6666666666666665,1.327777777777778,2.822222222222222,3.427777777777778,4.372222222222223,10.622222222222222
18,D+_O-_M-_P+_T-,False,1,-1,-1,1,-1,96.25000000000001,82.41666666666667,4.544444444444443,0.7763714198663048,0.016666666666666666,0.005555555555555555,0.061111111111111116,1.177777777777778,2.5333333333333328,1.0888888888888888,2.3222222222222224,0.5944444444444443,2.4055555555555554,1.7722222222222224,3.6222222222222222,7.8
19,D+_O-_M-_P+_T+,True,1,-1,-1,1,1,105.13333333333334,90.95,4.916666666666667,0.7824933232201816,0.01111111111111111,0.0,0.14444444444444443,1.3888888888888886,2.2,1.5833333333333333,2.666666666666667,0.7888888888888889,2.8222222222222224,2.1777777777777776,3.783333333333333,8.783333333333333
20,D+_O-_M+_P-_T-,False,1,-1,1,-1,-1,93.6,80.9111111111111,4.205555555555555,0.7767409809908877,0.027777777777777776,0.0,0.05,2.4777777777777774,1.3222222222222224,1.5055555555555558,2.9111111111111114,1.1500000000000001,2.9888888888888885,3.6277777777777773,2.827777777777778,9.444444444444446
21,D+_O-_M+_P-_T+,False,1,-1,1,-1,1,98.1222222222222,84.68333333333334,4.3,0.7792330952769386,0.005555555555555555,0.0,0.06111111111111111,2.4111111111111114,2.2000000000000006,2.088888888888889,3.6277777777777773,1.2222222222222223,3.6944444444444438,3.6333333333333333,4.28888888888889,11.616666666666669
22,D+_O-_M+_P+_T-,True,1,-1,1,1,-1,94.31666666666666,80.70555555555555,4.333333333333333,0.7854588799002052,0.03888888888888889,0.0,0.09999999999999999,1.5999999999999999,2.583333333333334,0.861111111111111,3.188888888888889,0.8388888888888887,3.3277777777777775,2.438888888888889,3.444444444444444,9.21111111111111
23,D+_O-_M+_P+_T+,False,1,-1,1,1,1,97.25555555555556,83.12222222222222,4.405555555555555,0.7947187929361225,0.005555555555555555,0.0,0.05555555555555555,1.5944444444444446,2.472222222222222,1.0222222222222224,3.2777777777777777,0.9722222222222221,3.3388888888888886,2.5666666666666673,3.4944444444444445,9.4
24,D+_O+_M-_P-_T-,False,1,1,-1,-1,-1,88.78333333333332,75.92777777777776,3.9111111111111114,0.8102946752616199,0.04444444444444444,0.03888888888888889,0.016666666666666666,0.9111111111111113,0.638888888888889,1.9277777777777778,1.1333333333333333,0.8055555555555555,1.2333333333333334,1.7166666666666663,2.566666666666667,5.5166666666666675
25,D+_O+_M-_P-_T+,True,1,1,-1,-1,1,122.92777777777776,106.85555555555554,5.611111111111112,0.7556577365050579,0.05,0.005555555555555555,0.10555555555555556,1.5777777777777777,2.344444444444444,3.6888888888888887,0.8388888888888888,0.9277777777777776,1.0,2.5055555555555555,6.033333333333332,9.538888888888888
26,D+_O+_M-_P+_T-,False,1,1,-1,1,-1,90.65,77.8888888888889,3.905555555555556,0.7915392846900402,0.02222222222222222,0.016666666666666666,0.027777777777777776,0.8833333333333333,1.8722222222222225,1.833333333333333,1.7555555555555553,0.6999999999999998,1.822222222222222,1.5833333333333333,3.7055555555555557,7.111111111111112
27,D+_O+_M-_P+_T+,False,1,1,-1,1,1,114.30555555555556,99.27222222222221,5.2777777777777795,0.7642400656731893,0.01111111111111111,0.01111111111111111,0.1277777777777778,0.9444444444444445,2.788888888888889,3.477777777777777,1.4833333333333334,1.0555555555555556,1.6333333333333333,2.0000000000000004,6.266666666666667,9.899999999999999
28,D+_O+_M+_P-_T-,True,1,1,1,-1,-1,101.07222222222224,87.53333333333333,4.561111111111112,0.7820502339572964,0.03888888888888888,0.005555555555555555,0.016666666666666666,1.9666666666666666,0.9277777777777776,2.188888888888889,2.111111111111111,0.9833333333333332,2.172222222222222,2.95,3.1166666666666663,8.238888888888889
29,D+_O+_M+_P-_T+,False,1,1,1,-1,1,113.32777777777777,97.28888888888888,4.988888888888889,0.7731087354935917,0.0611111111111111,0.0,0.11111111111111109,1.9222222222222223,2.4,3.1833333333333327,2.405555555555556,1.1555555555555554,2.577777777777777,3.0777777777777775,5.583333333333334,11.238888888888889
30,D+_O+_M+_P+_T-,False,1,1,1,1,-1,103.46666666666667,89.4611111111111,4.544444444444446,0.7740620214548783,0.03333333333333333,0.0,0.016666666666666666,1.6944444444444442,2.1222222222222222,2.005555555555555,2.7222222222222223,0.872222222222222,2.7722222222222226,2.566666666666667,4.127777777777777,9.466666666666667
31,D+_O+_M+_P+_T+,False,1,1,1,1,1,109.18333333333335,94.03333333333333,4.816666666666666,0.7767042785310825,0.0,0.0,0.12777777777777774,1.7,2.733333333333334,3.1055555555555556,2.4444444444444446,1.083333333333333,2.5722222222222224,2.7833333333333337,5.838888888888889,11.194444444444446
