source_family,artifact_classes,score,size_bytes,modified_utc,content_terms,path
F1|F2,MATCHED_SOURCE_SUBSET|CONTROL_SUBSET|FREEZE_OR_MANIFEST,18,7796,2026-09-11T20:08:23.811721+00:00,feature|threshold|holdout|matched|surface|operator,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\11_V2_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\PACKAGE_SHA256_MANIFEST.csv
F1|F2,FEATURE_CONTRACT|MATCHED_SOURCE_SUBSET|CONTROL_SUBSET,18,23860,2026-09-11T17:04:22+00:00,feature|holdout|matched|surface|operator|provider,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\RUN_F1_BR2_V2_EXACT_EXTRACTOR.py
F1|F2,FEATURE_CONTRACT|MATCHED_SOURCE_SUBSET|CONTROL_SUBSET,18,23860,2026-09-11T17:04:22+00:00,feature|holdout|matched|surface|operator|provider,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_BR2_LMARENA_MATCHED_CONTROL\RUN_F1_BR2_V2_EXACT_EXTRACTOR.py
F2,THRESHOLD_OR_SCORING_RULE|MATCHED_SOURCE_SUBSET|FROZEN_SCORER_OR_RUNNER|FREEZE_OR_MANIFEST,18,167,2026-09-11T19:23:22+00:00,threshold|holdout|matched,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_REFREEZE_RUNNER\frozen_inputs\legacy_results\FROZEN_THRESHOLD_HOLDOUT.csv
F2,THRESHOLD_OR_SCORING_RULE|MATCHED_SOURCE_SUBSET|FROZEN_SCORER_OR_RUNNER|FREEZE_OR_MANIFEST,18,167,2026-09-11T19:41:20+00:00,threshold|holdout|matched,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_inputs\legacy_results\FROZEN_THRESHOLD_HOLDOUT.csv
F1,MATCHED_SOURCE_SUBSET|CONTROL_SUBSET,17,13580,2026-09-11T19:57:42.818360+00:00,classifier|feature|threshold|holdout|matched|surface|invariance|operator,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\07_RESULTS\run_f1_br1_analysis.py
F1,MATCHED_SOURCE_SUBSET|CONTROL_SUBSET,17,13580,2026-09-11T20:08:23.805581+00:00,classifier|feature|threshold|holdout|matched|surface|invariance|operator,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\11_V2_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\07_RESULTS\run_f1_br1_analysis.py
F1,MATCHED_SOURCE_SUBSET|CONTROL_SUBSET|FREEZE_OR_MANIFEST,17,3918,2026-09-11T20:12:16.443113+00:00,holdout|matched|surface|operator|provider,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\11_V2_MANIFEST\BR2_V2_SUMMARY.json
F1,MATCHED_SOURCE_SUBSET|CONTROL_SUBSET|FREEZE_OR_MANIFEST,17,1725,2026-09-11T20:12:16.444112+00:00,holdout|matched|surface|operator|provider,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\11_V2_MANIFEST\BR2_V2_SUMMARY.txt
F1|F2,MATCHED_SOURCE_SUBSET|CONTROL_SUBSET,17,13580,2026-09-11T19:57:42.818360+00:00,classifier|feature|threshold|holdout|matched|surface|invariance|operator,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\07_RESULTS\run_f1_br1_analysis.py
F1|F2,MATCHED_SOURCE_SUBSET|CONTROL_SUBSET,17,13580,2026-09-11T20:08:23.805581+00:00,classifier|feature|threshold|holdout|matched|surface|invariance|operator,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\11_V2_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\07_RESULTS\run_f1_br1_analysis.py
F1|F2,MATCHED_SOURCE_SUBSET|CONTROL_SUBSET|FREEZE_OR_MANIFEST,17,3918,2026-09-11T20:12:16.443113+00:00,holdout|matched|surface|operator|provider,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\11_V2_MANIFEST\BR2_V2_SUMMARY.json
F1|F2,MATCHED_SOURCE_SUBSET|CONTROL_SUBSET|FREEZE_OR_MANIFEST,17,1725,2026-09-11T20:12:16.444112+00:00,holdout|matched|surface|operator|provider,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\11_V2_MANIFEST\BR2_V2_SUMMARY.txt
V12|WF1-A,FROZEN_SCORER_OR_RUNNER|PREVIOUS_ADJUDICATION,17,124186,2026-09-13T18:22:04.244853+00:00,classifier|feature|holdout|matched|surface|invariance|operator|prospective,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\ADJUDICATION\WF1_A_R1_COLLECTION_CLOSED_20260913_231818\02_FROZEN_RUNNER.py
V12|WF1-A,FEATURE_CONTRACT|MATCHED_SOURCE_SUBSET|CONTEXT_OR_ID_MAP|PREVIOUS_ADJUDICATION,17,737029,2026-09-13T20:35:31.207370+00:00,matched|surface,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2A_GROUP_COMPLETE\07_SEED_LEVEL_GRAPH_VECTOR.csv
V12|WF1-A,FEATURE_CONTRACT|MATCHED_SOURCE_SUBSET|CONTEXT_OR_ID_MAP|PREVIOUS_ADJUDICATION,17,630289,2026-09-13T20:38:05.873259+00:00,matched|surface,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2B_SEED_COMPLETE\07_SEED_LEVEL_GRAPH_VECTOR.csv
V12|WF1-A,FROZEN_SCORER_OR_RUNNER|FREEZE_OR_MANIFEST,17,124186,2026-09-12T17:15:01.844187+00:00,classifier|feature|holdout|matched|surface|invariance|operator|prospective,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\PROTOCOL\PREFLIGHT_FREEZE\00_FROZEN_RUNNER.py
V12|WF1-A|WF1-B,FROZEN_SCORER_OR_RUNNER|PREVIOUS_ADJUDICATION,17,124186,2026-09-13T18:22:04.244853+00:00,classifier|feature|holdout|matched|surface|invariance|operator|prospective,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\PUBLICATION\WF1_A_WF1_B_GITHUB_PROVENANCE_PACKAGE_v1\WF1_A\ADJUDICATION\WF1_A_R1_COLLECTION_CLOSED_20260913_231818\02_FROZEN_RUNNER.py
V12|WF1-A|WF1-B,FEATURE_CONTRACT|MATCHED_SOURCE_SUBSET|CONTEXT_OR_ID_MAP|PREVIOUS_ADJUDICATION,17,737029,2026-09-13T20:35:31.207370+00:00,matched|surface,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\PUBLICATION\WF1_A_WF1_B_GITHUB_PROVENANCE_PACKAGE_v1\WF1_A\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2A_GROUP_COMPLETE\07_SEED_LEVEL_GRAPH_VECTOR.csv
V12|WF1-A|WF1-B,FEATURE_CONTRACT|MATCHED_SOURCE_SUBSET|CONTEXT_OR_ID_MAP|PREVIOUS_ADJUDICATION,17,630289,2026-09-13T20:38:05.873259+00:00,matched|surface,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\PUBLICATION\WF1_A_WF1_B_GITHUB_PROVENANCE_PACKAGE_v1\WF1_A\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2B_SEED_COMPLETE\07_SEED_LEVEL_GRAPH_VECTOR.csv
V12|WF1-A|WF1-B,FROZEN_SCORER_OR_RUNNER|FREEZE_OR_MANIFEST,17,124186,2026-09-12T17:15:01.844187+00:00,classifier|feature|holdout|matched|surface|invariance|operator|prospective,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\PUBLICATION\WF1_A_WF1_B_GITHUB_PROVENANCE_PACKAGE_v1\WF1_A\PROTOCOL\PREFLIGHT_FREEZE\00_FROZEN_RUNNER.py
F1,THRESHOLD_OR_SCORING_RULE|MATCHED_SOURCE_SUBSET|CONTROL_SUBSET|FREEZE_OR_MANIFEST,16,110,2026-09-11T20:08:23.889304+00:00,surface,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\11_V2_MANIFEST\PORTABLE_SCORE_EQUIVALENCE.csv
F1|F2,THRESHOLD_OR_SCORING_RULE|MATCHED_SOURCE_SUBSET|CONTROL_SUBSET|FREEZE_OR_MANIFEST,16,110,2026-09-11T20:08:23.889304+00:00,surface,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\11_V2_MANIFEST\PORTABLE_SCORE_EQUIVALENCE.csv
F2,CONTROL_SUBSET|FROZEN_SCORER_OR_RUNNER|FREEZE_OR_MANIFEST|SURFACE_INVARIANCE_PRIOR,16,371,2026-09-11T19:23:22+00:00,matched,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_REFREEZE_RUNNER\frozen_inputs\legacy_results\DOMAIN_TOPIC_CONTROL.csv
F2,FROZEN_SCORER_OR_RUNNER|FREEZE_OR_MANIFEST,16,34518,2026-09-11T19:29:36+00:00,feature|threshold|holdout|matched|surface|operator|adjudication,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_REFREEZE_RUNNER\RUN_F2_BR2.py
F2,FROZEN_SCORER_OR_RUNNER|FREEZE_OR_MANIFEST,16,61539,2026-09-11T19:41:20+00:00,feature|threshold|holdout|matched|surface|operator|adjudication,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_inputs\BR1_COMPLETE_CURRENT_OUTPUT_SHA256.csv
F2,CONTROL_SUBSET|FROZEN_SCORER_OR_RUNNER|FREEZE_OR_MANIFEST|SURFACE_INVARIANCE_PRIOR,16,371,2026-09-11T19:41:20+00:00,matched,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_inputs\legacy_results\DOMAIN_TOPIC_CONTROL.csv
F2,FEATURE_CONTRACT|MATCHED_SOURCE_SUBSET|FROZEN_SCORER_OR_RUNNER|FREEZE_OR_MANIFEST,16,176366,2026-09-11T19:41:20+00:00,holdout,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_inputs\legacy_window_features\WINDOW12_HOLDOUT.csv
F2,FEATURE_CONTRACT|MATCHED_SOURCE_SUBSET|FROZEN_SCORER_OR_RUNNER|FREEZE_OR_MANIFEST,16,205524,2026-09-11T19:41:20+00:00,holdout,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\frozen_inputs\legacy_window_features\WINDOW8_HOLDOUT.csv
F1,FREEZE_OR_MANIFEST|PREVIOUS_ADJUDICATION,15,2696,2026-09-11T17:36:20+00:00,holdout|matched|surface|adjudication|prospective|provider,C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\03_F1_FINAL_ADJUDICATION.md
F1,FREEZE_OR_MANIFEST|PREVIOUS_ADJUDICATION,15,2696,2026-09-11T17:36:20+00:00,holdout|matched|surface|adjudication|prospective|provider,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\03_F1_FINAL_ADJUDICATION.md
F1,FEATURE_CONTRACT|MATCHED_SOURCE_SUBSET|CONTROL_SUBSET,15,8758,2026-09-11T19:57:37.521006+00:00,feature|holdout|operator,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\05_FEATURES\extract_dropout_fast.py
F1,FEATURE_CONTRACT|MATCHED_SOURCE_SUBSET|CONTROL_SUBSET,15,9496,2026-09-11T19:57:37.755831+00:00,feature|holdout|operator,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\05_FEATURES\extract_segment_features.py
F1,FEATURE_CONTRACT|MATCHED_SOURCE_SUBSET|CONTROL_SUBSET,15,8702,2026-09-11T19:57:38.297750+00:00,feature|holdout|operator,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\05_FEATURES\extract_set_fast.py
F1,MATCHED_SOURCE_SUBSET|CONTROL_SUBSET|SURFACE_INVARIANCE_PRIOR,15,4588,2026-09-11T19:57:42.811367+00:00,feature|holdout|matched,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\07_RESULTS\domain_topic_control.py
F1,THRESHOLD_OR_SCORING_RULE|MATCHED_SOURCE_SUBSET|CONTROL_SUBSET,15,167,2026-09-11T19:57:42.019996+00:00,threshold|holdout|matched,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\07_RESULTS\FROZEN_THRESHOLD_HOLDOUT.csv
F1,MATCHED_SOURCE_SUBSET|CONTROL_SUBSET,15,6787,2026-09-11T19:57:42.877125+00:00,feature|threshold|holdout|matched|surface|operator,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\07_RESULTS\run_primary_fast.py
F1,FEATURE_CONTRACT|MATCHED_SOURCE_SUBSET|CONTROL_SUBSET,15,8758,2026-09-11T20:08:23.778453+00:00,feature|holdout|operator,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\11_V2_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\05_FEATURES\extract_dropout_fast.py
F1,FEATURE_CONTRACT|MATCHED_SOURCE_SUBSET|CONTROL_SUBSET,15,9496,2026-09-11T20:08:23.779452+00:00,feature|holdout|operator,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\11_V2_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\05_FEATURES\extract_segment_features.py
F1,FEATURE_CONTRACT|MATCHED_SOURCE_SUBSET|CONTROL_SUBSET,15,8702,2026-09-11T20:08:23.779452+00:00,feature|holdout|operator,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\11_V2_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\05_FEATURES\extract_set_fast.py
F1,MATCHED_SOURCE_SUBSET|CONTROL_SUBSET|SURFACE_INVARIANCE_PRIOR,15,4588,2026-09-11T20:08:23.804581+00:00,feature|holdout|matched,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\11_V2_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\07_RESULTS\domain_topic_control.py
F1,THRESHOLD_OR_SCORING_RULE|MATCHED_SOURCE_SUBSET|CONTROL_SUBSET,15,167,2026-09-11T20:08:23.788447+00:00,threshold|holdout|matched,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\11_V2_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\07_RESULTS\FROZEN_THRESHOLD_HOLDOUT.csv
F1,MATCHED_SOURCE_SUBSET|CONTROL_SUBSET,15,6787,2026-09-11T20:08:23.806581+00:00,feature|threshold|holdout|matched|surface|operator,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\11_V2_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\07_RESULTS\run_primary_fast.py
F1,FEATURE_CONTRACT|MATCHED_SOURCE_SUBSET|CONTROL_SUBSET|FROZEN_SCORER_OR_RUNNER,15,11238,2026-09-11T20:07:17.723557+00:00,,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\F1_BR2_V2_EXACT_EXTRACTOR_RUNNER.zip
F1,FEATURE_CONTRACT|FROZEN_SCORER_OR_RUNNER|FREEZE_OR_MANIFEST,15,339,2026-09-11T16:53:36.047010+00:00,feature|holdout|provider,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R2_HARDENED\05_POSTFREEZE_AUDIT\DIRECT_CONTINUOUS_FEATURE_PREDICTABILITY.csv
F1|F2,FEATURE_CONTRACT|MATCHED_SOURCE_SUBSET|CONTROL_SUBSET,15,8758,2026-09-11T19:57:37.521006+00:00,feature|holdout|operator,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\05_FEATURES\extract_dropout_fast.py
F1|F2,FEATURE_CONTRACT|MATCHED_SOURCE_SUBSET|CONTROL_SUBSET,15,9496,2026-09-11T19:57:37.755831+00:00,feature|holdout|operator,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\05_FEATURES\extract_segment_features.py
F1|F2,FEATURE_CONTRACT|MATCHED_SOURCE_SUBSET|CONTROL_SUBSET,15,8702,2026-09-11T19:57:38.297750+00:00,feature|holdout|operator,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\05_FEATURES\extract_set_fast.py
F1|F2,MATCHED_SOURCE_SUBSET|CONTROL_SUBSET|SURFACE_INVARIANCE_PRIOR,15,4588,2026-09-11T19:57:42.811367+00:00,feature|holdout|matched,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\07_RESULTS\domain_topic_control.py
F1|F2,THRESHOLD_OR_SCORING_RULE|MATCHED_SOURCE_SUBSET|CONTROL_SUBSET,15,167,2026-09-11T19:57:42.019996+00:00,threshold|holdout|matched,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\07_RESULTS\FROZEN_THRESHOLD_HOLDOUT.csv
F1|F2,MATCHED_SOURCE_SUBSET|CONTROL_SUBSET,15,6787,2026-09-11T19:57:42.877125+00:00,feature|threshold|holdout|matched|surface|operator,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\07_RESULTS\run_primary_fast.py
F1|F2,FEATURE_CONTRACT|MATCHED_SOURCE_SUBSET|CONTROL_SUBSET,15,8758,2026-09-11T20:08:23.778453+00:00,feature|holdout|operator,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\11_V2_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\05_FEATURES\extract_dropout_fast.py
F1|F2,FEATURE_CONTRACT|MATCHED_SOURCE_SUBSET|CONTROL_SUBSET,15,9496,2026-09-11T20:08:23.779452+00:00,feature|holdout|operator,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\11_V2_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\05_FEATURES\extract_segment_features.py
F1|F2,FEATURE_CONTRACT|MATCHED_SOURCE_SUBSET|CONTROL_SUBSET,15,8702,2026-09-11T20:08:23.779452+00:00,feature|holdout|operator,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\11_V2_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\05_FEATURES\extract_set_fast.py
F1|F2,MATCHED_SOURCE_SUBSET|CONTROL_SUBSET|SURFACE_INVARIANCE_PRIOR,15,4588,2026-09-11T20:08:23.804581+00:00,feature|holdout|matched,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\11_V2_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\07_RESULTS\domain_topic_control.py
F1|F2,THRESHOLD_OR_SCORING_RULE|MATCHED_SOURCE_SUBSET|CONTROL_SUBSET,15,167,2026-09-11T20:08:23.788447+00:00,threshold|holdout|matched,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\11_V2_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\07_RESULTS\FROZEN_THRESHOLD_HOLDOUT.csv
F1|F2,MATCHED_SOURCE_SUBSET|CONTROL_SUBSET,15,6787,2026-09-11T20:08:23.806581+00:00,feature|threshold|holdout|matched|surface|operator,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\11_V2_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\07_RESULTS\run_primary_fast.py
F1|F2,FEATURE_CONTRACT|MATCHED_SOURCE_SUBSET|CONTROL_SUBSET|FROZEN_SCORER_OR_RUNNER,15,11238,2026-09-11T20:07:17.723557+00:00,,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\F1_BR2_V2_EXACT_EXTRACTOR_RUNNER.zip
F1|F2,FEATURE_CONTRACT|FROZEN_SCORER_OR_RUNNER|FREEZE_OR_MANIFEST,15,339,2026-09-11T16:53:36.047010+00:00,feature|holdout|provider,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_LMARENA_BLIND_R2_HARDENED\05_POSTFREEZE_AUDIT\DIRECT_CONTINUOUS_FEATURE_PREDICTABILITY.csv
