POPULATION,MEASURE,REFERENCE,THRESHOLD,N_EXTERNAL,MATCHES,FRACTION,CI_LOW,CI_HIGH,ONE_IN,LINEAGE_ACTUAL_COVERAGE
ALL_USABLE,SURFACE_FREE_MARGIN,LINEAGE_Q50,5.169596516578415,29093,7379,0.25363489499192243,0.24864291707957648,0.2586761127813849,3.9426751592356686,
ALL_USABLE,SURFACE_FREE_MARGIN,LINEAGE_Q75,7.558190893521439,29093,6136,0.21090984085518855,0.20623393486813776,0.21564354336867064,4.7413624511082135,
ALL_USABLE,SURFACE_FREE_MARGIN,LINEAGE_Q90,9.223146097812174,29093,5407,0.18585226686831885,0.18139680046393936,0.19037055421710397,5.380617717773257,
ALL_USABLE,SURFACE_FREE_MARGIN,LINEAGE_Q95,10.678216732016637,29093,4779,0.164266318358368,0.16002523767880422,0.16857455349876913,6.087675245867336,
ALL_USABLE,R1_COMPATIBLE_MARGIN,LINEAGE_Q50,5.409719241108979,29093,11109,0.3818444299315987,0.37625655082080983,0.3874559130983776,2.61886758484112,
ALL_USABLE,R1_COMPATIBLE_MARGIN,LINEAGE_Q75,7.860949786822722,29093,8111,0.2787955865672155,0.27364809640794,0.28398728191002137,3.5868573542103315,
ALL_USABLE,R1_COMPATIBLE_MARGIN,LINEAGE_Q90,10.368566430169743,29093,5928,0.20376035472450418,0.1991444716103078,0.20843546739052707,4.9077260458839405,
ALL_USABLE,R1_COMPATIBLE_MARGIN,LINEAGE_Q95,12.356024590830328,29093,4637,0.15938541917299695,0.15519632502077294,0.16364264850363625,6.274099633383654,
ALL_USABLE,COMPOSITE_MEDIAN_Z,LINEAGE_50PCT_TOLERANCE,-0.9454561207921073,29093,0,0.0,0.0,0.00012678807947620702,inf,0.5036496350364964
ALL_USABLE,COMPOSITE_MIN_Z,LINEAGE_50PCT_TOLERANCE,-2.0091731760501625,29093,0,0.0,0.0,0.00012678807947620702,inf,0.5036496350364964
ALL_USABLE,STRICT_5_COMPONENT_CONJUNCTION,INDIVIDUAL_50PCT_TOLERANCE,,29093,0,0.0,0.0,0.00012678807947620702,inf,0.16058394160583941
ALL_USABLE,COMPOSITE_MEDIAN_Z,LINEAGE_75PCT_TOLERANCE,-1.3853095818873649,29093,0,0.0,0.0,0.00012678807947620702,inf,0.7518248175182481
ALL_USABLE,COMPOSITE_MIN_Z,LINEAGE_75PCT_TOLERANCE,-2.6284642428800065,29093,3,0.00010311758842333207,2.126583063609727e-05,0.0003013234837869754,9697.666666666666,0.7518248175182481
ALL_USABLE,STRICT_5_COMPONENT_CONJUNCTION,INDIVIDUAL_75PCT_TOLERANCE,,29093,0,0.0,0.0,0.00012678807947620702,inf,0.5182481751824818
ALL_USABLE,COMPOSITE_MEDIAN_Z,LINEAGE_90PCT_TOLERANCE,-2.58681595384683,29093,71,0.0024404495926855256,0.0019064883243334007,0.0030773129842945955,409.76056338028167,0.8978102189781022
ALL_USABLE,COMPOSITE_MIN_Z,LINEAGE_90PCT_TOLERANCE,-4.924213701431121,29093,402,0.013817756848726498,0.012507912807266328,0.015225964196483229,72.37064676616916,0.8978102189781022
ALL_USABLE,STRICT_5_COMPONENT_CONJUNCTION,INDIVIDUAL_90PCT_TOLERANCE,,29093,3,0.00010311758842333207,2.126583063609727e-05,0.0003013234837869754,9697.666666666666,0.8029197080291971
ALL_USABLE,COMPOSITE_MEDIAN_Z,LINEAGE_95PCT_TOLERANCE,-3.5275802619295638,29093,560,0.019248616505688654,0.01770075660318242,0.020893499751069158,51.95178571428571,0.948905109489051
ALL_USABLE,COMPOSITE_MIN_Z,LINEAGE_95PCT_TOLERANCE,-6.236400940840964,29093,2600,0.08936857663355446,0.08611444476498381,0.0927049743413436,11.189615384615385,0.948905109489051
ALL_USABLE,STRICT_5_COMPONENT_CONJUNCTION,INDIVIDUAL_95PCT_TOLERANCE,,29093,156,0.005362114598013268,0.004555455967393438,0.0062698285037139185,186.49358974358975,0.9051094890510949
