SCOPE,PARTITION,CONTROL,N,AUTH_ADVANTAGE,P,HOLM_P,PASS
N1_COHERENT,DEVELOPMENT,DEGREE_MATCHED,38,0.22123409817529305,0.000199990000499975,0.0007999600019999,True
N1_COHERENT,DEVELOPMENT,COMPLEXITY_MATCHED,38,0.03821353511320436,0.023398830058497074,0.04679766011699415,True
N1_COHERENT,DEVELOPMENT,TOPOLOGY_MATCHED,38,0.0022792130791629795,0.6252187390630468,0.6252187390630468,False
N1_COHERENT,DEVELOPMENT,FORWARD,38,0.40835127727905524,0.0008499575021248938,0.0025498725063746812,True
N1_COHERENT,DEVELOPMENT,RANDOM,38,0.4058797846358035,4.999750012499375e-05,0.00024998750062496874,True
N1_COHERENT,CONFIRMATION,DEGREE_MATCHED,19,0.15350573669387557,0.05529723513824309,0.22118894055297236,False
N1_COHERENT,CONFIRMATION,COMPLEXITY_MATCHED,19,0.013555153466024615,0.5717214139293035,0.5717214139293035,False
N1_COHERENT,CONFIRMATION,TOPOLOGY_MATCHED,19,0.00563283459551539,0.20668966551672416,0.4133793310334483,False
N1_COHERENT,CONFIRMATION,FORWARD,19,0.30410308927033886,0.08389580520973951,0.25168741562921854,False
N1_COHERENT,CONFIRMATION,RANDOM,19,0.42620796917861187,0.0039998000099995,0.0199990000499975,True
N1_COHERENT,FINAL_HOLDOUT,DEGREE_MATCHED,19,0.3252702051584535,0.00024998750062496874,0.000999950002499875,True
N1_COHERENT,FINAL_HOLDOUT,COMPLEXITY_MATCHED,19,0.0038538930073345134,0.8571071446427678,0.8571071446427678,False
N1_COHERENT,FINAL_HOLDOUT,TOPOLOGY_MATCHED,19,0.010194389314324362,0.24343782810859457,0.48687565621718915,False
N1_COHERENT,FINAL_HOLDOUT,FORWARD,19,0.4036044132522233,0.0018499075046247689,0.005549722513874307,True
N1_COHERENT,FINAL_HOLDOUT,RANDOM,19,0.45315131165663713,0.00014999250037498125,0.0007499625018749063,True
N2_STABLE,ALL,DEGREE_MATCHED,76,0.34054946707648065,4.999750012499375e-05,0.00024998750062496874,True
N2_STABLE,ALL,COMPLEXITY_MATCHED,76,0.03165554148162774,0.015699215039248038,0.031398430078496076,True
N2_STABLE,ALL,TOPOLOGY_MATCHED,76,0.0005650648084328978,0.8523073846307685,0.8523073846307685,False
N2_STABLE,ALL,FORWARD,76,0.7724415897120533,4.999750012499375e-05,0.00024998750062496874,True
N2_STABLE,ALL,RANDOM,76,0.6540649290700143,4.999750012499375e-05,0.00024998750062496874,True
N2_STABLE,DEVELOPMENT,DEGREE_MATCHED,38,0.2988903057244686,4.999750012499375e-05,0.00024998750062496874,True
