condition,combo_index,heldout_from_fitting,DIRECTION,ORDER,META_CONTROL,PRESERVATION,TERMINAL,seed,rep,response_id,response_sha256,latency_seconds,OUTPUT_TOKENS,WORD_COUNT,SENTENCE_COUNT,TYPE_TOKEN_RATIO,RETURN,RECURRENCE,GENERATIVE_REUSE,COMPRESSION,TRANSFORMATION,CAUSAL,TRAJECTORY,CONTROL,RELATIONAL,TOTAL
D+_O+_M+_P+_T-,30,False,1,1,2.0,1.0,-1,16,0,resp_08a89d3a41e03e5d006aa31bf4f9b887d289caac30a7826175,94850760758d130ed7221f1062b4291c32c605501148a1c058ebe07677cb4125,2.0415329933166504,70.0,59.0,3.0,0.864406779661017,0.0,0.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0,8.0
D+_O+_M+_P+_T-,30,False,1,1,3.0,3.0,-1,16,1,resp_0bc41af91287cd48006aa31bf55ae087d2bb726d0adb028579,d12bdb77beaeb6a96547cdd45301b4cc6c860063e668d4bcda0f3a0bfc038769,2.4912784099578857,127.0,114.0,5.0,0.6842105263157895,0.0,0.0,0.0,2.0,3.0,1.0,3.0,4.0,5.0,12.0
D+_O+_M+_P+_T-,30,False,1,1,0.0,2.0,-1,16,2,resp_0e22a30c34bada2e006aa31bf5c4bc87d2957040f9cf237c61,d3d21cf189c66479404f6c1542a56480d2b4105915c8ecb5941a7f5e187c075b,2.0436298847198486,69.0,59.0,3.0,0.8135593220338984,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,4.0,6.0
D+_O+_M+_P+_T-,30,False,1,1,2.0,2.0,-1,17,0,resp_0ca63305b418f74a006aa31bf5c98c87d2afa952efc41ced95,159b6d16511b76ba80ecdbc76bddbc577d18fcf4ea27523b6e12b6d4c718ad25,4.8080174922943115,140.0,121.0,7.0,0.6694214876033058,0.0,0.0,0.0,5.0,3.0,1.0,3.0,3.0,7.0,13.0
D+_O+_M+_P+_T-,30,False,1,1,0.0,2.0,-1,17,1,resp_0c7a0e8447653c65006aa31bf5dc3887d2a1925dd41f760496,6a20dd5ffd31d9a3e6a4544b36d67bd55706b594905e66c3f9ce344f0655c373,2.2852258682250977,67.0,57.0,3.0,0.8596491228070176,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,4.0
D+_O+_M+_P+_T-,30,False,1,1,1.0,2.0,-1,17,2,resp_0e068be2853b04c6006aa31bf62dc887d2a6c93e78130529c5,9155bd459bd236bdcce370be996afd63b799f7c29c36d1edf74dadb796a392e7,3.464299440383911,127.0,112.0,5.0,0.7232142857142857,0.0,0.0,0.0,3.0,4.0,1.0,4.0,2.0,5.0,11.0
D+_O+_M+_P+_T-,30,False,1,1,1.0,3.0,-1,18,0,resp_060fdcece793bca3006aa31bf6314887d2b718b56cf0d23bd3,7dbcaed61ba35f22cbb2e5d4f8a9e0fa9078b32dc247fe5cad3ac6fde0d2d0f2,2.7935731410980225,124.0,106.0,6.0,0.7169811320754716,0.0,0.0,0.0,3.0,4.0,1.0,4.0,2.0,6.0,12.0
D+_O+_M+_P+_T-,30,False,1,1,3.0,3.0,-1,18,1,resp_0643a9d6e244d166006aa31bf66b9487d2896a4121396c7a84,313c954ee5c461b2b0484b1685f7895e322254cd62772fd4705b75190f91a49f,2.8799962997436523,139.0,122.0,7.0,0.7540983606557377,0.0,0.0,0.0,2.0,2.0,0.0,2.0,3.0,5.0,10.0
D+_O+_M+_P+_T-,30,False,1,1,3.0,3.0,-1,18,2,resp_011d9adb95a7e114006aa31bf68cc887d28eee5fe56d31651a,20b849f19fd100f6e85810ba35df92d454ded7c82f3a23b0912e39508ec5d861,2.83154296875,105.0,92.0,5.0,0.7391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0
D+_O+_M+_P+_T-,30,False,1,1,1.0,1.0,-1,19,0,resp_0e1aa816d2698e05006aa31bf6ae2c87d2a3941bbeb904a125,779e881001e6fb7f1295b06545cf144c18cdc03cd76414e432344036b8056b4f,2.4791924953460693,70.0,59.0,3.0,0.8305084745762712,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,5.0
D+_O+_M+_P+_T-,30,False,1,1,1.0,2.0,-1,19,1,resp_06df4eaba39045ff006aa31bf7035c87d2af144d3b0a676cb8,e8d24791ddae86d6c19682333cfa6774f0a322fceded1cf678b8453d4ce65e37,2.274557113647461,85.0,73.0,3.0,0.8904109589041096,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,5.0
D+_O+_M+_P+_T-,30,False,1,1,2.0,1.0,-1,19,2,resp_04675fb2b27d6a22006aa31bf7084487d2a12c2eb0552774c2,f458ba4c784c0b6f1e360427f44fec61cd8867ae38fa0298e3c40a7ce7de64de,2.589681625366211,116.0,102.0,5.0,0.7352941176470589,0.0,0.0,0.0,2.0,3.0,3.0,3.0,5.0,3.0,11.0
D+_O+_M+_P+_T-,30,False,1,1,2.0,2.0,-1,20,0,resp_01d6f46c14cce5c1006aa31bf88c7c87d28e1313999aea7d68,bf9a7ef5f9ff370c5be765752aaf8170e7f4b4ab983ef585232d8395462936a4,6.670516014099121,123.0,107.0,6.0,0.7289719626168224,0.0,0.0,0.0,2.0,4.0,1.0,4.0,3.0,4.0,11.0
D+_O+_M+_P+_T-,30,False,1,1,0.0,2.0,-1,20,1,resp_0f8bcb01ad65a5da006aa31bf7d0f887d28fdbab47e902d039,b72c36f3904f4b996dbcc5a014dedc3c4ef2e9922770827581b1a83ada8c593d,2.4255754947662354,68.0,57.0,3.0,0.9122807017543859,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0
D+_O+_M+_P+_T-,30,False,1,1,0.0,2.0,-1,20,2,resp_0843a3bfe2dc928c006aa31bf7dbb887d2b4c0fb2ed6d42068,5e3d4f320e7a253d676ce94fad15c0c9600c78da66395d75060dd5b1ba7c5807,2.2866578102111816,68.0,58.0,3.0,0.7931034482758621,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,5.0,7.0
D+_O+_M+_P+_T-,30,False,1,1,0.0,3.0,-1,21,0,resp_0c7aab925751ef60006aa31bf826a087d28dd61f2b6c9928e8,7fa83cc837712a70b6af43f58e5b652bbf375a0db714b1cf7883c09e1c57ea73,4.048459053039551,68.0,58.0,3.0,0.8103448275862069,0.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,4.0,8.0
D+_O+_M+_P+_T-,30,False,1,1,1.0,5.0,-1,21,1,resp_09fc30b9d59ab77b006aa31bf8f91c87d2acf165464c91eebf,41809a83bc37fb354582785803ffb4ab053a7b5a51725570e212413843df3d51,3.903846263885498,187.0,167.0,7.0,0.6706586826347305,0.0,0.0,0.0,3.0,4.0,2.0,4.0,3.0,8.0,15.0
D+_O+_M+_P+_T-,30,False,1,1,1.0,2.0,-1,21,2,resp_0af9d1344789acf6006aa31bf9180c87d2be06a593b36f4b6a,98b72dc28347ce07c5b897c6bfb1cd7c9b68a600ad1c3712f9eb8b8dc04d4f3b,3.071362257003784,76.0,63.0,4.0,0.8571428571428571,0.0,0.0,0.0,1.0,3.0,1.0,3.0,2.0,3.0,8.0
D+_O+_M+_P+_T-,30,False,1,1,0.0,3.0,-1,22,0,resp_08d496d640e97729006aa31bf9720087d2a32ff3ac2bb37321,6d0f59f95f020b239ac37df66eddf21c7e8f311f36f10671cc4fce9b73e98f56,2.8859634399414062,104.0,87.0,4.0,0.8045977011494253,1.0,0.0,0.0,2.0,3.0,1.0,4.0,1.0,5.0,10.0
D+_O+_M+_P+_T-,30,False,1,1,2.0,2.0,-1,22,1,resp_082e94d8fa87f2d8006aa31bf94e6887d2a00388272642f613,1157f467328cbf09d0bbb95eaeddeb4533a55c94b60f2fe349de5b2abdfe4893,2.749687671661377,90.0,77.0,4.0,0.7922077922077922,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,7.0
D+_O+_M+_P+_T-,30,False,1,1,2.0,2.0,-1,22,2,resp_0dda82c7cda637e3006aa31bf9608487d2a1f01a31b7138323,d75d12ff15c3603ba0bb36f9d37033aa2a4d426f628e3b27dcab38acdcd30304,2.143132448196411,96.0,84.0,4.0,0.7738095238095238,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,4.0,8.0
